Geneid	HISAT2 on data 25 and data 1: aligned reads (BAM)
AFUB_000010	126
AFUB_000020	279
AFUB_000030	51
AFUB_000040	516
AFUB_000050	4
AFUB_000060	2
AFUB_000070	2
AFUB_000080	10
AFUB_000090	7
AFUB_000100	45
AFUB_000110	1689
AFUB_000120	33
AFUB_000130	24
AFUB_000140	57
AFUB_000150	44
AFUB_000160	4
AFUB_000170	0
AFUB_000180	2
AFUB_000190	0
AFUB_000200	0
AFUB_000210	18
AFUB_000220	5
AFUB_000230	1
AFUB_000240	1316
AFUB_000250	56
AFUB_000260	77
AFUB_000270	62
AFUB_000280	206
AFUB_000290	47
AFUB_000300	190
AFUB_000310	748
AFUB_000320	41
AFUB_000330	10
AFUB_000340	36246
AFUB_000350	523
AFUB_000360	94
AFUB_000370	109
AFUB_000380	282
AFUB_000390	1029
AFUB_000400	1266
AFUB_000410	9269
AFUB_000420	15507
AFUB_000430	4242
AFUB_000440	2174
AFUB_000450	8716
AFUB_000460	1492
AFUB_000470	2397
AFUB_000480	112
AFUB_000490	3964
AFUB_000500	7321
AFUB_000510	3453
AFUB_000520	1473
AFUB_000530	13432
AFUB_000540	1523
AFUB_000550	3555
AFUB_000560	1325
AFUB_000570	2196
AFUB_000580	3778
AFUB_000590	455
AFUB_000600	469
AFUB_000610	386
AFUB_000620	1679
AFUB_000630	18182
AFUB_000640	61
AFUB_000650	1645
AFUB_000660	16122
AFUB_000670	288
AFUB_000680	0
AFUB_000690	8070
AFUB_000700	815
AFUB_000710	49
AFUB_000720	13
AFUB_000730	244
AFUB_000740	2
AFUB_000750	26
AFUB_000760	6
AFUB_000770	8
AFUB_000780	9
AFUB_000790	4
AFUB_000800	3
AFUB_000810	11
AFUB_000820	47
AFUB_000830	12
AFUB_000840	600
AFUB_000850	916
AFUB_000860	649
AFUB_000870	32
AFUB_000880	8974
AFUB_000890	64
AFUB_000900	247
AFUB_000910	370
AFUB_000920	222
AFUB_000930	907
AFUB_000940	1754
AFUB_000950	116
AFUB_000960	892
AFUB_000970	153
AFUB_000980	491
AFUB_000990	26441
AFUB_001000	819
AFUB_001010	57
AFUB_001020	56
AFUB_001030	18
AFUB_001040	128
AFUB_001050	19439
AFUB_001060	3299
AFUB_001070	18655
AFUB_001080	10859
AFUB_001090	0
AFUB_001100	5483
AFUB_001110	4322
AFUB_001120	22
AFUB_001130	22
AFUB_001140	3524
AFUB_001150	192
AFUB_001160	198
AFUB_001170	695
AFUB_001180	5155
AFUB_001190	39911
AFUB_001200	21960
AFUB_001210	2036
AFUB_001220	1108
AFUB_001230	2312
AFUB_001240	1
AFUB_001250	7255
AFUB_001260	3344
AFUB_001270	7
AFUB_001280	150
AFUB_001290	4202
AFUB_001300	1326
AFUB_001310	2948
AFUB_001320	8618
AFUB_001330	5610
AFUB_001340	33309
AFUB_001350	765
