Geneid	HISAT2 on data 88 and data 1: aligned reads (BAM)
AFUB_000010	87
AFUB_000020	220
AFUB_000030	15
AFUB_000040	354
AFUB_000050	0
AFUB_000060	2
AFUB_000070	0
AFUB_000080	7
AFUB_000090	0
AFUB_000100	90
AFUB_000110	2134
AFUB_000120	35
AFUB_000130	6
AFUB_000140	14
AFUB_000150	18
AFUB_000160	0
AFUB_000170	0
AFUB_000180	0
AFUB_000190	0
AFUB_000200	0
AFUB_000210	0
AFUB_000220	0
AFUB_000230	0
AFUB_000240	729
AFUB_000250	56
AFUB_000260	22
AFUB_000270	30
AFUB_000280	58
AFUB_000290	19
AFUB_000300	105
AFUB_000310	662
AFUB_000320	20
AFUB_000330	20
AFUB_000340	7509
AFUB_000350	582
AFUB_000360	29
AFUB_000370	34
AFUB_000380	106
AFUB_000390	1849
AFUB_000400	1130
AFUB_000410	5804
AFUB_000420	6688
AFUB_000430	2785
AFUB_000440	2317
AFUB_000450	5741
AFUB_000460	1846
AFUB_000470	1246
AFUB_000480	61
AFUB_000490	1863
AFUB_000500	6130
AFUB_000510	2825
AFUB_000520	947
AFUB_000530	13831
AFUB_000540	1352
AFUB_000550	2868
AFUB_000560	1376
AFUB_000570	1776
AFUB_000580	3234
AFUB_000590	477
AFUB_000600	566
AFUB_000610	265
AFUB_000620	1367
AFUB_000630	17308
AFUB_000640	34
AFUB_000650	954
AFUB_000660	4382
AFUB_000670	194
AFUB_000680	0
AFUB_000690	2842
AFUB_000700	588
AFUB_000710	44
AFUB_000720	5
AFUB_000730	91
AFUB_000740	0
AFUB_000750	16
AFUB_000760	13
AFUB_000770	8
AFUB_000780	24
AFUB_000790	0
AFUB_000800	1
AFUB_000810	2
AFUB_000820	73
AFUB_000830	16
AFUB_000840	609
AFUB_000850	975
AFUB_000860	677
AFUB_000870	14
AFUB_000880	5913
AFUB_000890	55
AFUB_000900	73
AFUB_000910	1
AFUB_000920	570
AFUB_000930	2778
AFUB_000940	5330
AFUB_000950	138
AFUB_000960	744
AFUB_000970	154
AFUB_000980	321
AFUB_000990	3926
AFUB_001000	258
AFUB_001010	25
AFUB_001020	27
AFUB_001030	4
AFUB_001040	71
AFUB_001050	14018
AFUB_001060	3063
AFUB_001070	11175
AFUB_001080	10528
AFUB_001090	0
AFUB_001100	4187
AFUB_001110	3325
AFUB_001120	86
AFUB_001130	9
AFUB_001140	2534
AFUB_001150	140
AFUB_001160	80
AFUB_001170	411
AFUB_001180	3510
AFUB_001190	32062
AFUB_001200	16405
AFUB_001210	2099
AFUB_001220	821
AFUB_001230	2139
AFUB_001240	0
AFUB_001250	5529
AFUB_001260	10665
AFUB_001270	15
AFUB_001280	108
AFUB_001290	2606
AFUB_001300	929
AFUB_001310	1734
AFUB_001320	7324
AFUB_001330	6777
AFUB_001340	21987
AFUB_001350	590
AFUB_001360	241
AFUB_001370	6485
AFUB_001380	2
AFUB_001390	0
AFUB_001400	8546
AFUB_001410	3721
AFUB_001420	1050
AFUB_001430	834
AFUB_001440	2568
AFUB_001450	64
AFUB_001460	2749
AFUB_001470	17459
AFUB_001480	3666
AFUB_001490	406
AFUB_001500	238
AFUB_001510	5414
AFUB_001520	12552
AFUB_001530	1375
AFUB_001540	1330
AFUB_001550	3953
AFUB_001560	9999
AFUB_001570	7357
AFUB_001580	2077
AFUB_001590	1327
AFUB_001600	1507
AFUB_001610	1538
AFUB_001620	4611
AFUB_001630	1579
AFUB_001640	12721
AFUB_001650	396
AFUB_001660	890
AFUB_001670	491
AFUB_001680	218
AFUB_001690	2628
AFUB_001700	11595
AFUB_001710	2784
AFUB_001720	8078
AFUB_001730	478
AFUB_001740	428
AFUB_001750	42736
AFUB_001760	11358
AFUB_001770	2647
AFUB_001780	2236
