Geneid	HISAT2 on data 81 and data 1: aligned reads (BAM)
AFUB_000010	27
AFUB_000020	135
AFUB_000030	10
AFUB_000040	310
AFUB_000050	6
AFUB_000060	21
AFUB_000070	3
AFUB_000080	3
AFUB_000090	9
AFUB_000100	66
AFUB_000110	2315
AFUB_000120	42
AFUB_000130	23
AFUB_000140	18
AFUB_000150	4
AFUB_000160	0
AFUB_000170	0
AFUB_000180	2
AFUB_000190	0
AFUB_000200	2
AFUB_000210	6
AFUB_000220	3
AFUB_000230	0
AFUB_000240	589
AFUB_000250	23
AFUB_000260	22
AFUB_000270	11
AFUB_000280	80
AFUB_000290	16
AFUB_000300	61
AFUB_000310	249
AFUB_000320	14
AFUB_000330	32
AFUB_000340	5865
AFUB_000350	653
AFUB_000360	40
AFUB_000370	43
AFUB_000380	104
AFUB_000390	1045
AFUB_000400	904
AFUB_000410	3303
AFUB_000420	3705
AFUB_000430	2992
AFUB_000440	1446
AFUB_000450	3627
AFUB_000460	1478
AFUB_000470	713
AFUB_000480	13
AFUB_000490	3814
AFUB_000500	4074
AFUB_000510	1285
AFUB_000520	1159
AFUB_000530	11498
AFUB_000540	797
AFUB_000550	1630
AFUB_000560	1191
AFUB_000570	1567
AFUB_000580	2721
AFUB_000590	476
AFUB_000600	573
AFUB_000610	204
AFUB_000620	876
AFUB_000630	17024
AFUB_000640	28
AFUB_000650	632
AFUB_000660	7258
AFUB_000670	121
AFUB_000680	0
AFUB_000690	1883
AFUB_000700	379
AFUB_000710	22
AFUB_000720	9
AFUB_000730	94
AFUB_000740	3
AFUB_000750	14
AFUB_000760	4
AFUB_000770	7
AFUB_000780	9
AFUB_000790	7
AFUB_000800	7
AFUB_000810	6
AFUB_000820	36
AFUB_000830	6
AFUB_000840	565
AFUB_000850	860
AFUB_000860	650
AFUB_000870	19
AFUB_000880	4757
AFUB_000890	27
AFUB_000900	42
AFUB_000910	6
AFUB_000920	245
AFUB_000930	1499
AFUB_000940	2460
AFUB_000950	87
AFUB_000960	775
AFUB_000970	220
AFUB_000980	612
AFUB_000990	1380
AFUB_001000	137
AFUB_001010	6
AFUB_001020	40
AFUB_001030	7
AFUB_001040	34
AFUB_001050	15235
AFUB_001060	2202
AFUB_001070	10927
AFUB_001080	8691
AFUB_001090	0
AFUB_001100	5763
AFUB_001110	2685
AFUB_001120	85
AFUB_001130	5
AFUB_001140	2840
AFUB_001150	40
AFUB_001160	107
AFUB_001170	431
AFUB_001180	3931
AFUB_001190	32128
AFUB_001200	7345
AFUB_001210	1490
AFUB_001220	730
AFUB_001230	1327
AFUB_001240	0
AFUB_001250	5098
AFUB_001260	9216
AFUB_001270	3
AFUB_001280	51
AFUB_001290	1531
AFUB_001300	338
AFUB_001310	3740
AFUB_001320	6480
AFUB_001330	3379
AFUB_001340	27063
AFUB_001350	409
AFUB_001360	280
AFUB_001370	5323
AFUB_001380	0
AFUB_001390	1
AFUB_001400	21489
AFUB_001410	3645
AFUB_001420	1864
AFUB_001430	978
AFUB_001440	1055
AFUB_001450	52
AFUB_001460	1153
AFUB_001470	15639
AFUB_001480	3701
