Geneid	HISAT2 on data 144 and data 1: aligned reads (BAM)
AFUB_003040	1180
AFUB_003050	267
AFUB_003060	12
AFUB_003070	4240
AFUB_003080	2285
AFUB_003090	372
AFUB_003100	1328
AFUB_003110	1028
AFUB_003120	2360
AFUB_003130	13
AFUB_003140	8
AFUB_003150	8827
AFUB_003160	30
AFUB_003170	451
AFUB_003180	127
AFUB_003190	404
AFUB_003200	624
AFUB_003210	2522
AFUB_003220	3994
AFUB_003230	299
AFUB_003240	34
AFUB_003250	2230
AFUB_003260	341
AFUB_003270	915
AFUB_003280	579
AFUB_003290	4403
AFUB_003300	2739
AFUB_003310	1299
AFUB_003320	1164
AFUB_003330	120
AFUB_003340	22
AFUB_003350	179
AFUB_003360	3241
AFUB_003370	1055
AFUB_003380	3688
AFUB_003390	1160
AFUB_003400	3100
AFUB_003410	554
AFUB_003420	3245
AFUB_003430	222
AFUB_003440	13421
AFUB_003450	2702
AFUB_003460	2477
AFUB_003470	335
AFUB_003480	4254
AFUB_003490	530
AFUB_003500	1204
AFUB_003510	3665
AFUB_003520	3260
AFUB_003530	698
AFUB_003540	1578
AFUB_003550	505
AFUB_003560	13875
AFUB_003570	119
AFUB_003580	577
AFUB_003590	0
AFUB_003600	722
AFUB_003610	410
AFUB_003620	26
AFUB_003629	0
AFUB_003630	104
AFUB_003640	0
AFUB_003650	0
AFUB_003660	0
AFUB_003670	0
AFUB_003680	0
AFUB_003690	6
AFUB_003700	6
AFUB_003710	0
AFUB_003720	2
AFUB_003730	0
AFUB_003740	0
AFUB_003750	0
AFUB_003760	75
AFUB_003770	19
AFUB_003780	1309
AFUB_003790	9620
AFUB_003800	10338
AFUB_003810	8370
AFUB_003820	1627
AFUB_003830	896
AFUB_003840	567
AFUB_003850	1009
AFUB_003860	1973
AFUB_003870	1251
AFUB_003880	8
AFUB_003890	11
AFUB_003900	4037
AFUB_003910	10395
AFUB_003920	14533
AFUB_003930	27
AFUB_003940	440
AFUB_003950	3981
AFUB_003960	828
AFUB_003970	708
AFUB_003980	2
AFUB_003990	33
AFUB_004000	2449
AFUB_004010	203
AFUB_004020	10421
AFUB_004030	1799
AFUB_004040	10825
AFUB_004050	163
AFUB_004060	4033
AFUB_004070	2067
AFUB_004080	9
AFUB_004090	2157
AFUB_004100	454
AFUB_004110	828
AFUB_004120	1908
AFUB_004130	1835
AFUB_004140	674
AFUB_004150	2726
AFUB_004160	1411
AFUB_004170	8997
AFUB_004185	669
AFUB_004200	5460
AFUB_004210	12068
AFUB_004220	691
AFUB_004230	1962
AFUB_004240	1345
AFUB_004250	4302
AFUB_004260	67
AFUB_004270	140
AFUB_004280	276
AFUB_004290	2654
AFUB_004300	85
AFUB_004310	852
AFUB_004320	4437
AFUB_004330	6168
AFUB_004340	5146
AFUB_004350	16103
AFUB_004360	744
AFUB_004370	21185
AFUB_004380	1746
AFUB_004390	956
AFUB_004400	1946
AFUB_004410	11049
AFUB_004420	2440
AFUB_004430	18023
AFUB_004440	3881
AFUB_004450	329
AFUB_004460	160
AFUB_004470	1565
AFUB_004480	362
AFUB_004489	92
AFUB_004490	173
AFUB_004500	64
AFUB_004510	674
AFUB_004520	711
AFUB_004530	23868
AFUB_004540	4304
AFUB_004550	318
AFUB_004560	1425
AFUB_004570	8181
AFUB_004580	329
AFUB_004590	3815
AFUB_004600	10760
AFUB_004610	1786
AFUB_004620	5610
AFUB_004630	3267
AFUB_004640	1002
AFUB_004650	455
AFUB_004660	15846
AFUB_004670	302
AFUB_004680	3058
AFUB_004690	100
AFUB_004700	5164
AFUB_004710	4167
AFUB_004720	1160
AFUB_004730	561
AFUB_004740	1400
AFUB_004750	1571
AFUB_004760	168
AFUB_004770	636
AFUB_004780	2078
AFUB_004790	1754
AFUB_004800	155
AFUB_004810	1541
AFUB_004820	1790
AFUB_004830	2747
AFUB_004840	1924
AFUB_004850	74
AFUB_004860	1597
AFUB_004870	12696
AFUB_004880	5644
AFUB_004890	2753
AFUB_004900	3068
AFUB_004910	505
AFUB_004920	844
AFUB_004930	889
AFUB_004940	1930
AFUB_004950	357
AFUB_004960	567
AFUB_004970	13996
AFUB_004980	479
AFUB_004990	8953
AFUB_005000	23345
AFUB_005010	9450
AFUB_005020	1882
AFUB_005030	630
AFUB_005040	6698
AFUB_005050	1228
AFUB_005060	2335
AFUB_005070	1187
AFUB_005080	96
AFUB_005090	591
AFUB_005100	976
AFUB_005110	1227
AFUB_005120	1297
AFUB_005130	8030
AFUB_005140	1208
AFUB_005150	406
AFUB_005160	1531
AFUB_005170	312
AFUB_005180	6794
AFUB_005190	2538
AFUB_005200	426
AFUB_005210	511
AFUB_005220	0
AFUB_005230	0
AFUB_005240	8749
AFUB_005250	3854
AFUB_005260	0
AFUB_005270	4373
AFUB_005280	3003
AFUB_005290	1620
AFUB_005300	12920
AFUB_005310	2455
AFUB_005320	14483
AFUB_005330	14691
AFUB_005340	2715
AFUB_005350	2436
AFUB_005360	6820
AFUB_005370	467
AFUB_005380	478
AFUB_005390	56546
AFUB_005400	15334
AFUB_005410	504
AFUB_005420	3570
AFUB_005430	1585
