Geneid	HISAT2 on data 67 and data 1: aligned reads (BAM)
AFUB_003040	1161
AFUB_003050	185
AFUB_003060	4
AFUB_003070	4202
AFUB_003080	2735
AFUB_003090	330
AFUB_003100	1814
AFUB_003110	901
AFUB_003120	1897
AFUB_003130	6
AFUB_003140	2
AFUB_003150	8947
AFUB_003160	46
AFUB_003170	1077
AFUB_003180	113
AFUB_003190	365
AFUB_003200	570
AFUB_003210	2907
AFUB_003220	3822
AFUB_003230	252
AFUB_003240	55
AFUB_003250	2322
AFUB_003260	436
AFUB_003270	602
AFUB_003280	692
AFUB_003290	6182
AFUB_003300	3169
AFUB_003310	1164
AFUB_003320	1113
AFUB_003330	150
AFUB_003340	16
AFUB_003350	382
AFUB_003360	2895
AFUB_003370	1149
AFUB_003380	3406
AFUB_003390	1641
AFUB_003400	3736
AFUB_003410	447
AFUB_003420	2403
AFUB_003430	187
AFUB_003440	10810
AFUB_003450	2133
AFUB_003460	3223
AFUB_003470	458
AFUB_003480	4402
AFUB_003490	829
AFUB_003500	725
AFUB_003510	5494
AFUB_003520	3650
AFUB_003530	1226
AFUB_003540	2134
AFUB_003550	462
AFUB_003560	5965
AFUB_003570	119
AFUB_003580	438
AFUB_003590	0
AFUB_003600	285
AFUB_003610	106
AFUB_003620	11
AFUB_003629	4
AFUB_003630	86
AFUB_003640	0
AFUB_003650	0
AFUB_003660	0
AFUB_003670	0
AFUB_003680	0
AFUB_003690	0
AFUB_003700	4
AFUB_003710	0
AFUB_003720	5
AFUB_003730	0
AFUB_003740	6
AFUB_003750	0
AFUB_003760	17
AFUB_003770	13
AFUB_003780	1340
AFUB_003790	7043
AFUB_003800	15675
AFUB_003810	8100
AFUB_003820	1240
AFUB_003830	1093
AFUB_003840	724
AFUB_003850	882
AFUB_003860	1725
AFUB_003870	1494
AFUB_003880	4
AFUB_003890	5
AFUB_003900	2106
AFUB_003910	10312
AFUB_003920	17141
AFUB_003930	13
AFUB_003940	539
AFUB_003950	3113
AFUB_003960	1512
AFUB_003970	945
AFUB_003980	0
AFUB_003990	59
AFUB_004000	2314
AFUB_004010	469
AFUB_004020	48464
AFUB_004030	1546
AFUB_004040	16935
AFUB_004050	252
AFUB_004060	4065
AFUB_004070	3608
AFUB_004080	1
AFUB_004090	3899
AFUB_004100	842
AFUB_004110	804
AFUB_004120	2409
AFUB_004130	1989
AFUB_004140	728
AFUB_004150	2106
AFUB_004160	912
AFUB_004170	6324
AFUB_004185	1056
AFUB_004200	2106
AFUB_004210	5670
AFUB_004220	673
AFUB_004230	1718
AFUB_004240	1596
AFUB_004250	4018
AFUB_004260	50
AFUB_004270	341
AFUB_004280	454
AFUB_004290	2614
AFUB_004300	88
AFUB_004310	1214
AFUB_004320	3781
AFUB_004330	5299
AFUB_004340	6122
AFUB_004350	15508
AFUB_004360	953
AFUB_004370	29037
AFUB_004380	1983
AFUB_004390	1387
AFUB_004400	1680
AFUB_004410	24440
AFUB_004420	2296
AFUB_004430	30232
AFUB_004440	5485
AFUB_004450	437
AFUB_004460	186
AFUB_004470	1199
AFUB_004480	374
AFUB_004489	174
AFUB_004490	149
AFUB_004500	103
AFUB_004510	503
AFUB_004520	1275
AFUB_004530	33503
AFUB_004540	3329
AFUB_004550	406
AFUB_004560	1526
AFUB_004570	8857
AFUB_004580	314
AFUB_004590	3376
AFUB_004600	6157
AFUB_004610	2817
AFUB_004620	5847
AFUB_004630	563
AFUB_004640	104
AFUB_004650	1087
AFUB_004660	39069
AFUB_004670	271
AFUB_004680	2670
AFUB_004690	79
AFUB_004700	5913
AFUB_004710	7457
AFUB_004720	1601
AFUB_004730	488
AFUB_004740	2519
AFUB_004750	1979
AFUB_004760	202
AFUB_004770	360
AFUB_004780	1221
AFUB_004790	1984
AFUB_004800	157
AFUB_004810	3245
AFUB_004820	1805
AFUB_004830	2006
AFUB_004840	1946
AFUB_004850	66
AFUB_004860	1503
AFUB_004870	31493
AFUB_004880	7399
AFUB_004890	3597
AFUB_004900	3279
AFUB_004910	696
AFUB_004920	588
AFUB_004930	1340
AFUB_004940	2215
AFUB_004950	228
AFUB_004960	575
AFUB_004970	5161
AFUB_004980	609
AFUB_004990	5726
AFUB_005000	44985
AFUB_005010	8093
AFUB_005020	2490
AFUB_005030	1785
AFUB_005040	5330
AFUB_005050	1568
AFUB_005060	2116
AFUB_005070	600
AFUB_005080	51
AFUB_005090	428
AFUB_005100	1466
AFUB_005110	1639
AFUB_005120	1147
AFUB_005130	8104
AFUB_005140	1049
AFUB_005150	510
AFUB_005160	1233
AFUB_005170	214
AFUB_005180	8375
AFUB_005190	1541
AFUB_005200	386
AFUB_005210	717
AFUB_005220	0
AFUB_005230	0
AFUB_005240	5372
AFUB_005250	3126
AFUB_005260	0
AFUB_005270	3531
AFUB_005280	2239
AFUB_005290	1164
AFUB_005300	16418
AFUB_005310	2463
AFUB_005320	13636
AFUB_005330	9672
AFUB_005340	2068
AFUB_005350	2058
AFUB_005360	8463
AFUB_005370	499
AFUB_005380	363
AFUB_005390	42737
AFUB_005400	9992
AFUB_005410	240
AFUB_005420	3992
AFUB_005430	2226
AFUB_005440	21863
AFUB_005450	4040
AFUB_005460	3204
AFUB_005470	0
AFUB_005480	2808
AFUB_005490	17206
AFUB_005500	105
AFUB_005510	1732
AFUB_005520	2148
AFUB_005530	440
AFUB_005540	539
AFUB_005550	3085
AFUB_005560	31623
AFUB_005570	14087
AFUB_005580	484
AFUB_005590	3542
AFUB_005600	6035
AFUB_005610	2154
AFUB_005620	373
AFUB_005630	4145
AFUB_005640	35
AFUB_005650	2584
AFUB_005660	8228
AFUB_005670	1461
AFUB_005680	726
AFUB_005690	18270
AFUB_005700	47
AFUB_005710	271
AFUB_005720	517
AFUB_005730	411
AFUB_005740	170274
AFUB_005750	3623
AFUB_005760	6930
AFUB_005770	2541
AFUB_005780	338
AFUB_005790	893
AFUB_005800	499
AFUB_005810	455
AFUB_005820	858
AFUB_005830	11128
AFUB_005840	17081
AFUB_005850	1427
AFUB_005860	904
AFUB_005870	317
AFUB_005880	975
AFUB_005890	1285
AFUB_005900	4470
AFUB_005910	433
AFUB_005920	1641
AFUB_005930	895
AFUB_005940	4416
AFUB_005950	49
AFUB_005960	2
AFUB_005970	0
AFUB_005980	11811
AFUB_005990	9945
AFUB_006000	38694
AFUB_006010	3430
AFUB_006020	2821
AFUB_006029	1011
AFUB_006030	486
AFUB_006040	181
AFUB_006050	4290
AFUB_006060	924
AFUB_006070	276
AFUB_006080	477
AFUB_006090	9044
AFUB_006100	1179
AFUB_006110	0
AFUB_006120	1508
AFUB_006130	612
AFUB_006140	794
AFUB_006150	1068
AFUB_006160	427
AFUB_006170	104
AFUB_006180	22431
AFUB_006190	13681
AFUB_006200	2569
AFUB_006210	1697
AFUB_006220	6951
AFUB_006230	3362
AFUB_006240	100
AFUB_006250	63
AFUB_006260	1061
AFUB_006270	6
AFUB_006280	13
AFUB_006290	7095
AFUB_006300	778
AFUB_006310	5102
AFUB_006320	5053
AFUB_006330	448
AFUB_006340	3255
AFUB_006350	1305
AFUB_006360	2022
AFUB_006370	241
AFUB_006380	84067
AFUB_006390	114
AFUB_006400	4289
AFUB_006410	5606
AFUB_006420	921
AFUB_006430	1657
AFUB_006440	9072
AFUB_006450	1909
AFUB_006460	2369
AFUB_006470	6971
AFUB_006480	300
AFUB_006490	4589
AFUB_006500	62
AFUB_006510	124
AFUB_006520	43
AFUB_006530	1092
AFUB_006540	4145
AFUB_006550	12069
AFUB_006560	6146
AFUB_006570	8177
AFUB_006580	1439
AFUB_006590	6847
AFUB_006600	2836
AFUB_006610	4381
AFUB_006620	1521
AFUB_006630	1183
AFUB_006640	1630
AFUB_006650	472
AFUB_006660	2419
AFUB_006670	3718
AFUB_006680	3532
AFUB_006690	2857
AFUB_006700	4051
AFUB_006710	14147
AFUB_006720	34074
AFUB_006730	2554
AFUB_006740	222
AFUB_006750	1063
AFUB_006760	397
AFUB_006770	295405
AFUB_006780	7606
AFUB_006790	3009
AFUB_006800	844
AFUB_006810	317
AFUB_006820	1348
AFUB_006830	672
AFUB_006840	756
AFUB_006850	301
AFUB_006860	140
AFUB_006870	3243
AFUB_006880	709
AFUB_006890	363
AFUB_006900	8410
AFUB_006910	2858
AFUB_006920	725
AFUB_006930	381
AFUB_006940	107
AFUB_006950	4049
AFUB_006960	16000
AFUB_006970	1251
AFUB_006980	8503
AFUB_006990	6872
AFUB_007000	5288
AFUB_007010	2316
AFUB_007020	63
AFUB_007030	223
AFUB_007040	150
AFUB_007050	3495
AFUB_007060	6476
AFUB_007070	7130
AFUB_007080	1749
AFUB_007090	5375
AFUB_007100	10621
AFUB_007110	1523
AFUB_007120	274
AFUB_007130	223
AFUB_007140	1567
AFUB_007150	26314
AFUB_007160	33177
AFUB_007170	15473
AFUB_007180	124
AFUB_007190	14656
AFUB_007200	1603
