Geneid	HISAT2 on data 186 and data 1: aligned reads (BAM)
AFUB_000010	66
AFUB_000020	116
AFUB_000030	16
AFUB_000040	214
AFUB_000050	0
AFUB_000060	0
AFUB_000070	2
AFUB_000080	4
AFUB_000090	2
AFUB_000100	23
AFUB_000110	672
AFUB_000120	13
AFUB_000130	0
AFUB_000140	18
AFUB_000150	28
AFUB_000160	1
AFUB_000170	2
AFUB_000180	0
AFUB_000190	2
AFUB_000200	0
AFUB_000210	4
AFUB_000220	2
AFUB_000230	2
AFUB_000240	432
AFUB_000250	19
AFUB_000260	55
AFUB_000270	54
AFUB_000280	98
AFUB_000290	38
AFUB_000300	111
AFUB_000310	595
AFUB_000320	22
AFUB_000330	16
AFUB_000340	18492
AFUB_000350	307
AFUB_000360	24
AFUB_000370	81
AFUB_000380	334
AFUB_000390	757
AFUB_000400	521
AFUB_000410	4418
AFUB_000420	5092
AFUB_000430	2006
AFUB_000440	1365
AFUB_000450	3639
AFUB_000460	451
AFUB_000470	1194
AFUB_000480	86
AFUB_000490	1189
AFUB_000500	2519
AFUB_000510	1877
AFUB_000520	606
AFUB_000530	6040
AFUB_000540	722
AFUB_000550	2466
AFUB_000560	398
AFUB_000570	898
AFUB_000580	1213
AFUB_000590	205
AFUB_000600	115
AFUB_000610	149
AFUB_000620	1630
AFUB_000630	16756
AFUB_000640	32
AFUB_000650	694
AFUB_000660	5250
AFUB_000670	93
AFUB_000680	0
AFUB_000690	2551
AFUB_000700	291
AFUB_000710	19
AFUB_000720	6
AFUB_000730	122
AFUB_000740	0
AFUB_000750	8
AFUB_000760	5
AFUB_000770	5
AFUB_000780	7
AFUB_000790	2
AFUB_000800	4
AFUB_000810	4
AFUB_000820	16
AFUB_000830	20
AFUB_000840	311
AFUB_000850	354
AFUB_000860	274
AFUB_000870	36
AFUB_000880	2762
AFUB_000890	36
AFUB_000900	263
AFUB_000910	106
AFUB_000920	186
AFUB_000930	685
AFUB_000940	1651
AFUB_000950	77
AFUB_000960	244
AFUB_000970	37
AFUB_000980	158
AFUB_000990	9885
AFUB_001000	470
AFUB_001010	7
AFUB_001020	16
AFUB_001030	10
AFUB_001040	53
AFUB_001050	5817
AFUB_001060	1064
AFUB_001070	8504
AFUB_001080	3413
AFUB_001090	0
AFUB_001100	1636
AFUB_001110	1211
AFUB_001120	39
AFUB_001130	16
AFUB_001140	1330
AFUB_001150	107
AFUB_001160	75
AFUB_001170	239
AFUB_001180	570
AFUB_001190	12510
AFUB_001200	11860
AFUB_001210	1047
AFUB_001220	456
AFUB_001230	1019
AFUB_001240	0
AFUB_001250	2248
AFUB_001260	4219
AFUB_001270	3
AFUB_001280	97
AFUB_001290	1317
AFUB_001300	1182
AFUB_001310	875
AFUB_001320	3017
AFUB_001330	3217
AFUB_001340	7078
AFUB_001350	384
AFUB_001360	120
AFUB_001370	1632
AFUB_001380	0
AFUB_001390	0
AFUB_001400	2954
AFUB_001410	1298
AFUB_001420	2099
AFUB_001430	824
AFUB_001440	1863
AFUB_001450	56
AFUB_001460	1327
AFUB_001470	12588
AFUB_001480	1336
AFUB_001490	307
AFUB_001500	83
AFUB_001510	1766
AFUB_001520	4430
AFUB_001530	602
AFUB_001540	953
AFUB_001550	3102
AFUB_001560	4248
AFUB_001570	3780
AFUB_001580	1686
AFUB_001590	767
AFUB_001600	909
AFUB_001610	1267
AFUB_001620	3646
AFUB_001630	786
AFUB_001640	3322
AFUB_001650	171
AFUB_001660	443
AFUB_001670	287
AFUB_001680	61
AFUB_001690	1735
AFUB_001700	4003
AFUB_001710	1728
AFUB_001720	2726
AFUB_001730	236
AFUB_001740	151
AFUB_001750	18045
AFUB_001760	3777
AFUB_001770	1200
AFUB_001780	1149
AFUB_001790	10439
AFUB_001800	183
AFUB_001810	16595
AFUB_001820	913
AFUB_001830	1940
AFUB_001840	1113
AFUB_001850	2298
AFUB_001860	563
AFUB_001870	2716
AFUB_001880	1392
AFUB_001890	1508
AFUB_001900	6269
AFUB_001910	160
AFUB_001920	390
AFUB_001930	413
AFUB_001940	2081
