Geneid	HISAT2 on data 3 and data 1: aligned reads (BAM)
AFUB_000010	88
AFUB_000020	315
AFUB_000030	33
AFUB_000040	493
AFUB_000050	0
AFUB_000060	0
AFUB_000070	0
AFUB_000080	8
AFUB_000090	8
AFUB_000100	151
AFUB_000110	3355
AFUB_000120	36
AFUB_000130	14
AFUB_000140	37
AFUB_000150	43
AFUB_000160	2
AFUB_000170	0
AFUB_000180	0
AFUB_000190	0
AFUB_000200	0
AFUB_000210	4
AFUB_000220	0
AFUB_000230	0
AFUB_000240	980
AFUB_000250	34
AFUB_000260	48
AFUB_000270	56
AFUB_000280	94
AFUB_000290	46
AFUB_000300	175
AFUB_000310	889
AFUB_000320	18
AFUB_000330	29
AFUB_000340	7001
AFUB_000350	991
AFUB_000360	54
AFUB_000370	69
AFUB_000380	168
AFUB_000390	2283
AFUB_000400	1595
AFUB_000410	7676
AFUB_000420	8427
AFUB_000430	3842
AFUB_000440	3111
AFUB_000450	7153
AFUB_000460	2690
AFUB_000470	1056
AFUB_000480	67
AFUB_000490	2317
AFUB_000500	8225
AFUB_000510	3618
AFUB_000520	1525
AFUB_000530	18663
AFUB_000540	1730
AFUB_000550	4522
AFUB_000560	2136
AFUB_000570	2619
AFUB_000580	4696
AFUB_000590	657
AFUB_000600	766
AFUB_000610	349
AFUB_000620	1507
AFUB_000630	24582
AFUB_000640	54
AFUB_000650	1299
AFUB_000660	5908
AFUB_000670	285
AFUB_000680	0
AFUB_000690	3586
AFUB_000700	768
AFUB_000710	61
AFUB_000720	5
AFUB_000730	120
AFUB_000740	2
AFUB_000750	8
AFUB_000760	13
AFUB_000770	28
AFUB_000780	30
AFUB_000790	3
AFUB_000800	0
AFUB_000810	14
AFUB_000820	122
AFUB_000830	8
AFUB_000840	947
AFUB_000850	1352
AFUB_000860	916
AFUB_000870	72
AFUB_000880	7814
AFUB_000890	72
AFUB_000900	77
AFUB_000910	16
AFUB_000920	873
AFUB_000930	4235
AFUB_000940	7967
AFUB_000950	172
AFUB_000960	1153
AFUB_000970	276
AFUB_000980	347
AFUB_000990	5658
AFUB_001000	383
AFUB_001010	39
AFUB_001020	44
AFUB_001030	14
AFUB_001040	76
AFUB_001050	19743
AFUB_001060	4093
AFUB_001070	14736
AFUB_001080	14438
AFUB_001090	0
AFUB_001100	5796
AFUB_001110	4658
AFUB_001120	138
AFUB_001130	12
AFUB_001140	3556
AFUB_001150	125
AFUB_001160	94
AFUB_001170	637
AFUB_001180	4873
AFUB_001190	44608
AFUB_001200	22330
AFUB_001210	2995
AFUB_001220	1256
AFUB_001230	2706
AFUB_001240	0
AFUB_001250	7442
AFUB_001260	15827
AFUB_001270	15
AFUB_001280	148
AFUB_001290	3368
AFUB_001300	1294
AFUB_001310	2921
AFUB_001320	10438
AFUB_001330	8897
AFUB_001340	30447
AFUB_001350	778
AFUB_001360	360
AFUB_001370	12539
AFUB_001380	0
AFUB_001390	0
AFUB_001400	12381
AFUB_001410	4935
AFUB_001420	1811
AFUB_001430	1208
