Geneid	HISAT2 on data 123 and data 1: aligned reads (BAM)
AFUB_000010	62
AFUB_000020	104
AFUB_000030	37
AFUB_000040	185
AFUB_000050	2
AFUB_000060	0
AFUB_000070	0
AFUB_000080	5
AFUB_000090	10
AFUB_000100	26
AFUB_000110	467
AFUB_000120	33
AFUB_000130	8
AFUB_000140	10
AFUB_000150	20
AFUB_000160	0
AFUB_000170	0
AFUB_000180	0
AFUB_000190	0
AFUB_000200	0
AFUB_000210	7
AFUB_000220	1
AFUB_000230	0
AFUB_000240	843
AFUB_000250	37
AFUB_000260	28
AFUB_000270	19
AFUB_000280	35
AFUB_000290	8
AFUB_000300	102
AFUB_000310	435
AFUB_000320	24
AFUB_000330	10
AFUB_000340	10765
AFUB_000350	329
AFUB_000360	23
AFUB_000370	46
AFUB_000380	178
AFUB_000390	1182
AFUB_000400	370
AFUB_000410	2238
AFUB_000420	3314
AFUB_000430	1222
AFUB_000440	989
AFUB_000450	3845
AFUB_000460	257
AFUB_000470	1363
AFUB_000480	143
AFUB_000490	3034
AFUB_000500	1771
AFUB_000510	2327
AFUB_000520	569
AFUB_000530	3818
AFUB_000540	1230
AFUB_000550	2111
AFUB_000560	147
AFUB_000570	868
AFUB_000580	665
AFUB_000590	84
AFUB_000600	120
AFUB_000610	170
AFUB_000620	1205
AFUB_000630	10019
AFUB_000640	50
AFUB_000650	726
AFUB_000660	8321
AFUB_000670	158
AFUB_000680	0
AFUB_000690	2371
AFUB_000700	141
AFUB_000710	33
AFUB_000720	8
AFUB_000730	45
AFUB_000740	2
AFUB_000750	10
AFUB_000760	8
AFUB_000770	17
AFUB_000780	18
AFUB_000790	4
AFUB_000800	4
AFUB_000810	4
AFUB_000820	10
AFUB_000830	8
AFUB_000840	246
AFUB_000850	387
AFUB_000860	241
AFUB_000870	26
AFUB_000880	1836
AFUB_000890	43
AFUB_000900	159
AFUB_000910	6
AFUB_000920	96
AFUB_000930	255
AFUB_000940	1027
AFUB_000950	72
AFUB_000960	99
AFUB_000970	17
AFUB_000980	139
AFUB_000990	7263
AFUB_001000	473
AFUB_001010	9
AFUB_001020	11
AFUB_001030	8
AFUB_001040	73
AFUB_001050	4687
AFUB_001060	853
AFUB_001070	6450
AFUB_001080	1726
AFUB_001090	0
AFUB_001100	1517
AFUB_001110	1234
AFUB_001120	56
AFUB_001130	14
AFUB_001140	1462
AFUB_001150	179
AFUB_001160	163
AFUB_001170	379
AFUB_001180	2361
AFUB_001190	32298
AFUB_001200	8512
AFUB_001210	1233
AFUB_001220	545
AFUB_001230	1283
AFUB_001240	0
AFUB_001250	1601
AFUB_001260	3260
AFUB_001270	4
AFUB_001280	81
AFUB_001290	1448
AFUB_001300	746
AFUB_001310	1300
AFUB_001320	1999
AFUB_001330	2043
AFUB_001340	6572
AFUB_001350	729
AFUB_001360	139
AFUB_001370	3423
AFUB_001380	1
AFUB_001390	0
AFUB_001400	3652
AFUB_001410	925
AFUB_001420	639
AFUB_001430	868
AFUB_001440	3554
AFUB_001450	36
AFUB_001460	2142
AFUB_001470	19644
AFUB_001480	875
AFUB_001490	481
AFUB_001500	97
AFUB_001510	1007
AFUB_001520	13585
AFUB_001530	699
AFUB_001540	994
AFUB_001550	2413
AFUB_001560	2293
AFUB_001570	3586
AFUB_001580	1655
AFUB_001590	1075
AFUB_001600	586
AFUB_001610	620
AFUB_001620	3433
AFUB_001630	968
AFUB_001640	1492
AFUB_001650	169
AFUB_001660	825
AFUB_001670	506
AFUB_001680	57
AFUB_001690	1764
AFUB_001700	1582
AFUB_001710	813
AFUB_001720	1166
AFUB_001730	261
AFUB_001740	275
AFUB_001750	40911
AFUB_001760	3326
AFUB_001770	812
AFUB_001780	1797
AFUB_001790	5197
AFUB_001800	401
AFUB_001810	16562
AFUB_001820	2120
AFUB_001830	1939
AFUB_001840	645
AFUB_001850	1371
AFUB_001860	696
AFUB_001870	2222
AFUB_001880	1462
AFUB_001890	1253
AFUB_001900	2700
AFUB_001910	29
AFUB_001920	307
AFUB_001930	316
AFUB_001940	1555
AFUB_001950	559
AFUB_001960	476
AFUB_001970	166
AFUB_001980	15
AFUB_001990	248
AFUB_002000	3924
AFUB_002010	405
AFUB_002020	342
AFUB_002030	262
AFUB_002040	2000
AFUB_002050	155
AFUB_002060	159
