Geneid	HISAT2 on data 130 and data 1: aligned reads (BAM)
AFUB_000010	63
AFUB_000020	181
AFUB_000030	31
AFUB_000040	271
AFUB_000050	0
AFUB_000060	0
AFUB_000070	0
AFUB_000080	3
AFUB_000090	4
AFUB_000100	30
AFUB_000110	1069
AFUB_000120	31
AFUB_000130	8
AFUB_000140	23
AFUB_000150	12
AFUB_000160	0
AFUB_000170	0
AFUB_000180	0
AFUB_000190	2
AFUB_000200	0
AFUB_000210	4
AFUB_000220	0
AFUB_000230	6
AFUB_000240	579
AFUB_000250	24
AFUB_000260	45
AFUB_000270	33
AFUB_000280	144
AFUB_000290	37
AFUB_000300	112
AFUB_000310	424
AFUB_000320	14
AFUB_000330	14
AFUB_000340	17621
AFUB_000350	420
AFUB_000360	63
AFUB_000370	32
AFUB_000380	284
AFUB_000390	896
AFUB_000400	821
AFUB_000410	3508
AFUB_000420	7076
AFUB_000430	2239
AFUB_000440	1466
AFUB_000450	4017
AFUB_000460	1031
AFUB_000470	1386
AFUB_000480	64
AFUB_000490	2616
AFUB_000500	3901
AFUB_000510	1299
AFUB_000520	740
AFUB_000530	7966
AFUB_000540	909
AFUB_000550	2444
AFUB_000560	835
AFUB_000570	1214
AFUB_000580	2298
AFUB_000590	371
AFUB_000600	367
AFUB_000610	201
AFUB_000620	1061
AFUB_000630	9933
AFUB_000640	23
AFUB_000650	891
AFUB_000660	9153
AFUB_000670	185
AFUB_000680	0
AFUB_000690	2155
AFUB_000700	350
AFUB_000710	29
AFUB_000720	6
AFUB_000730	114
AFUB_000740	0
AFUB_000750	10
AFUB_000760	4
AFUB_000770	9
AFUB_000780	13
AFUB_000790	3
AFUB_000800	0
AFUB_000810	21
AFUB_000820	38
AFUB_000830	13
AFUB_000840	329
AFUB_000850	560
AFUB_000860	457
AFUB_000870	19
AFUB_000880	3461
AFUB_000890	50
AFUB_000900	109
AFUB_000910	55
AFUB_000920	114
AFUB_000930	534
AFUB_000940	771
AFUB_000950	61
AFUB_000960	566
AFUB_000970	92
AFUB_000980	363
AFUB_000990	14050
AFUB_001000	358
AFUB_001010	36
AFUB_001020	28
AFUB_001030	6
AFUB_001040	64
AFUB_001050	12426
AFUB_001060	2083
AFUB_001070	9240
AFUB_001080	7401
AFUB_001090	0
AFUB_001100	3549
AFUB_001110	2243
AFUB_001120	54
AFUB_001130	9
AFUB_001140	2012
AFUB_001150	126
AFUB_001160	95
AFUB_001170	346
AFUB_001180	3210
AFUB_001190	26481
AFUB_001200	11925
AFUB_001210	1234
AFUB_001220	679
AFUB_001230	1719
AFUB_001240	0
AFUB_001250	4025
AFUB_001260	1007
AFUB_001270	4
AFUB_001280	77
AFUB_001290	1951
AFUB_001300	656
AFUB_001310	2102
AFUB_001320	4318
AFUB_001330	2931
AFUB_001340	20839
AFUB_001350	375
AFUB_001360	68
AFUB_001370	11162
AFUB_001380	0
AFUB_001390	0
AFUB_001400	12550
AFUB_001410	2401
AFUB_001420	1717
AFUB_001430	937
AFUB_001440	1494
AFUB_001450	73
AFUB_001460	1408
AFUB_001470	17220
AFUB_001480	2876
AFUB_001490	289
AFUB_001500	125
AFUB_001510	5306
AFUB_001520	10422
AFUB_001530	574
AFUB_001540	1370
AFUB_001550	3044
AFUB_001560	6965
AFUB_001570	5635
AFUB_001580	2188
AFUB_001590	1173
AFUB_001600	835
AFUB_001610	1145
AFUB_001620	3203
AFUB_001630	961
AFUB_001640	7682
AFUB_001650	177
AFUB_001660	589
AFUB_001670	754
AFUB_001680	99
AFUB_001690	3097
AFUB_001700	7467
AFUB_001710	1678
AFUB_001720	4860
AFUB_001730	277
AFUB_001740	219
AFUB_001750	40808
AFUB_001760	7664
AFUB_001770	1809
AFUB_001780	1531
AFUB_001790	10808
AFUB_001800	278
AFUB_001810	47320
AFUB_001820	1510
AFUB_001830	1567
AFUB_001840	1221
AFUB_001850	2941
AFUB_001860	697
AFUB_001870	3820
AFUB_001880	1911
AFUB_001890	3717
AFUB_001900	9308
AFUB_001910	75
AFUB_001920	371
AFUB_001930	397
AFUB_001940	4259
AFUB_001950	1162
AFUB_001960	956
AFUB_001970	124
AFUB_001980	13
AFUB_001990	675
AFUB_002000	4585
AFUB_002010	452
AFUB_002020	677
AFUB_002030	242
AFUB_002040	2286
AFUB_002050	185
AFUB_002060	293
AFUB_002070	181
AFUB_002080	509
AFUB_002090	1493
AFUB_002100	636
AFUB_002110	12
AFUB_002120	9340
AFUB_002130	57
AFUB_002140	5720
AFUB_002150	951
AFUB_002160	3909
AFUB_002170	175
AFUB_002180	332
AFUB_002190	288
AFUB_002200	15
AFUB_002210	12
AFUB_002220	0
AFUB_002230	386
AFUB_002240	1362
AFUB_002250	460
AFUB_002260	1254
AFUB_002270	43
AFUB_002280	15
AFUB_002290	964
AFUB_002300	35
AFUB_002310	26
AFUB_002320	1013
AFUB_002330	814
AFUB_002340	1255
AFUB_002350	2914
AFUB_002360	22
AFUB_002370	2298
AFUB_002380	140
AFUB_002390	4107
AFUB_002400	1080
AFUB_002410	28752
AFUB_002420	276
AFUB_002430	1854
AFUB_002440	32
AFUB_002450	7386
AFUB_002460	696
AFUB_002470	500
AFUB_002480	168
AFUB_002490	4158
AFUB_002500	533
AFUB_002510	3059
AFUB_002520	5252
AFUB_002530	6534
AFUB_002540	1092
AFUB_002550	1516
AFUB_002560	1193
AFUB_002570	4494
AFUB_002580	606
AFUB_002590	3692
AFUB_002600	232
AFUB_002610	12
AFUB_002620	0
AFUB_002630	0
AFUB_002640	0
AFUB_002650	12
AFUB_002660	3731
AFUB_002670	660
AFUB_002680	9076
AFUB_002690	4
AFUB_002700	2
AFUB_002710	16
AFUB_002720	764
AFUB_002730	5169
AFUB_002740	374
AFUB_002750	83
AFUB_002760	159
AFUB_002770	73
AFUB_002780	546
AFUB_002790	1903
AFUB_002800	3291
AFUB_002810	1048
AFUB_002820	1119
AFUB_002830	412
AFUB_002840	983
AFUB_002850	4760
AFUB_002860	54
AFUB_002870	884
AFUB_002880	801
AFUB_002890	6379
AFUB_002900	4
AFUB_002910	336
AFUB_002920	6658
AFUB_002930	40727
AFUB_002940	272
AFUB_002950	17467
AFUB_002960	2263
AFUB_002970	5656
AFUB_002980	2920
AFUB_002990	2137
AFUB_003000	470
AFUB_003010	5820
AFUB_003020	0
AFUB_003030	2
AFUB_003040	1027
AFUB_003050	158
AFUB_003060	6
AFUB_003070	3296
AFUB_003080	2178
AFUB_003090	268
AFUB_003100	1043
AFUB_003110	700
AFUB_003120	2226
AFUB_003130	4
AFUB_003140	0
AFUB_003150	7756
AFUB_003160	85
AFUB_003170	606
AFUB_003180	96
AFUB_003190	392
AFUB_003200	243
AFUB_003210	2624
AFUB_003220	4092
AFUB_003230	290
AFUB_003240	30
AFUB_003250	2546
AFUB_003260	275
AFUB_003270	841
AFUB_003280	623
AFUB_003290	3307
AFUB_003300	2349
AFUB_003310	1144
AFUB_003320	927
AFUB_003330	141
AFUB_003340	11
AFUB_003350	152
AFUB_003360	3989
AFUB_003370	1227
AFUB_003380	2690
AFUB_003390	1441
AFUB_003400	2849
AFUB_003410	341
AFUB_003420	4502
AFUB_003430	208
AFUB_003440	10729
AFUB_003450	2330
AFUB_003460	2200
AFUB_003470	333
AFUB_003480	3685
AFUB_003490	709
AFUB_003500	1234
AFUB_003510	4479
AFUB_003520	2738
AFUB_003530	880
AFUB_003540	1631
AFUB_003550	393
AFUB_003560	13362
AFUB_003570	145
AFUB_003580	690
AFUB_003590	0
AFUB_003600	114
AFUB_003610	114
AFUB_003620	13
AFUB_003629	1
AFUB_003630	169
AFUB_003640	2
AFUB_003650	2
AFUB_003660	0
AFUB_003670	2
AFUB_003680	0
AFUB_003690	2
AFUB_003700	6
AFUB_003710	3
AFUB_003720	6
AFUB_003730	0
AFUB_003740	0
AFUB_003750	0
AFUB_003760	20
AFUB_003770	7
AFUB_003780	1024
AFUB_003790	7384
AFUB_003800	16898
AFUB_003810	7883
AFUB_003820	1295
AFUB_003830	1045
AFUB_003840	448
AFUB_003850	1104
AFUB_003860	1847
AFUB_003870	1196
AFUB_003880	3
AFUB_003890	4
AFUB_003900	2518
AFUB_003910	8756
AFUB_003920	14282
AFUB_003930	21
AFUB_003940	346
AFUB_003950	3594
AFUB_003960	1021
AFUB_003970	707
AFUB_003980	2
AFUB_003990	45
AFUB_004000	2408
AFUB_004010	211
AFUB_004020	13167
AFUB_004030	2266
AFUB_004040	15426
AFUB_004050	189
AFUB_004060	5347
AFUB_004070	2673
AFUB_004080	6
AFUB_004090	1855
AFUB_004100	281
AFUB_004110	1328
AFUB_004120	1898
AFUB_004130	809
AFUB_004140	752
AFUB_004150	2386
AFUB_004160	1118
AFUB_004170	6808
AFUB_004185	765
AFUB_004200	3679
AFUB_004210	13793
AFUB_004220	625
AFUB_004230	1745
AFUB_004240	995
AFUB_004250	4333
AFUB_004260	58
AFUB_004270	223
AFUB_004280	308
AFUB_004290	2048
AFUB_004300	62
AFUB_004310	912
AFUB_004320	3689
AFUB_004330	5741
AFUB_004340	4345
AFUB_004350	12112
AFUB_004360	731
AFUB_004370	24977
AFUB_004380	2138
AFUB_004390	992
AFUB_004400	1641
AFUB_004410	16783
AFUB_004420	2402
AFUB_004430	26404
AFUB_004440	3644
AFUB_004450	443
AFUB_004460	193
AFUB_004470	1185
AFUB_004480	462
AFUB_004489	63
AFUB_004490	110
AFUB_004500	62
AFUB_004510	553
AFUB_004520	707
AFUB_004530	38979
AFUB_004540	4085
AFUB_004550	248
AFUB_004560	1035
AFUB_004570	7205
AFUB_004580	191
AFUB_004590	2752
AFUB_004600	12796
AFUB_004610	1430
AFUB_004620	5243
AFUB_004630	2700
AFUB_004640	617
AFUB_004650	322
AFUB_004660	27394
AFUB_004670	379
AFUB_004680	2967
AFUB_004690	83
AFUB_004700	5100
AFUB_004710	6035
AFUB_004720	1518
AFUB_004730	520
AFUB_004740	1143
AFUB_004750	1413
AFUB_004760	233
AFUB_004770	945
AFUB_004780	2352
AFUB_004790	2092
AFUB_004800	151
AFUB_004810	1442
AFUB_004820	1146
AFUB_004830	2979
AFUB_004840	1434
AFUB_004850	50
AFUB_004860	1471
AFUB_004870	24929
AFUB_004880	6840
AFUB_004890	2750
AFUB_004900	3225
AFUB_004910	401
AFUB_004920	564
AFUB_004930	970
AFUB_004940	2122
AFUB_004950	383
AFUB_004960	585
AFUB_004970	12630
AFUB_004980	466
AFUB_004990	7774
AFUB_005000	33076
AFUB_005010	7736
AFUB_005020	1930
AFUB_005030	611
