Geneid	HISAT2 on data 11 and data 1: aligned reads (BAM)
AFUB_000010	67
AFUB_000020	137
AFUB_000030	34
AFUB_000040	266
AFUB_000050	0
AFUB_000060	2
AFUB_000070	0
AFUB_000080	4
AFUB_000090	5
AFUB_000100	36
AFUB_000110	814
AFUB_000120	24
AFUB_000130	13
AFUB_000140	24
AFUB_000150	33
AFUB_000160	6
AFUB_000170	0
AFUB_000180	0
AFUB_000190	0
AFUB_000200	2
AFUB_000210	9
AFUB_000220	0
AFUB_000230	6
AFUB_000240	817
AFUB_000250	55
AFUB_000260	63
AFUB_000270	44
AFUB_000280	95
AFUB_000290	13
AFUB_000300	180
AFUB_000310	543
AFUB_000320	23
AFUB_000330	11
AFUB_000340	19978
AFUB_000350	254
AFUB_000360	62
AFUB_000370	60
AFUB_000380	92
AFUB_000390	533
AFUB_000400	578
AFUB_000410	6258
AFUB_000420	6195
AFUB_000430	1975
AFUB_000440	1588
AFUB_000450	5480
AFUB_000460	435
AFUB_000470	769
AFUB_000480	58
AFUB_000490	3464
AFUB_000500	3714
AFUB_000510	2734
AFUB_000520	1165
AFUB_000530	6259
AFUB_000540	929
AFUB_000550	1795
AFUB_000560	402
AFUB_000570	1130
AFUB_000580	1501
AFUB_000590	162
AFUB_000600	168
AFUB_000610	212
AFUB_000620	1103
AFUB_000630	10888
AFUB_000640	51
AFUB_000650	922
AFUB_000660	13048
AFUB_000670	207
AFUB_000680	0
AFUB_000690	5598
AFUB_000700	394
AFUB_000710	32
AFUB_000720	0
AFUB_000730	124
AFUB_000740	0
AFUB_000750	21
AFUB_000760	4
AFUB_000770	8
AFUB_000780	12
AFUB_000790	4
AFUB_000800	0
AFUB_000810	1
AFUB_000820	13
AFUB_000830	7
AFUB_000840	431
AFUB_000850	527
AFUB_000860	346
AFUB_000870	22
AFUB_000880	4318
AFUB_000890	43
AFUB_000900	183
AFUB_000910	96
AFUB_000920	160
AFUB_000930	424
AFUB_000940	944
AFUB_000950	82
AFUB_000960	296
AFUB_000970	30
AFUB_000980	201
AFUB_000990	14198
AFUB_001000	471
AFUB_001010	41
AFUB_001020	15
AFUB_001030	5
AFUB_001040	79
AFUB_001050	8082
AFUB_001060	1473
AFUB_001070	10950
AFUB_001080	4172
AFUB_001090	0
AFUB_001100	2647
AFUB_001110	2309
AFUB_001120	40
AFUB_001130	19
AFUB_001140	2484
AFUB_001150	219
AFUB_001160	150
AFUB_001170	633
AFUB_001180	4718
AFUB_001190	41287
AFUB_001200	11978
AFUB_001210	1333
AFUB_001220	660
AFUB_001230	1324
AFUB_001240	0
AFUB_001250	5037
AFUB_001260	2741
AFUB_001270	2
AFUB_001280	85
AFUB_001290	2087
AFUB_001300	1463
AFUB_001310	1355
AFUB_001320	3782
AFUB_001330	3639
AFUB_001340	14149
AFUB_001350	474
AFUB_001360	62
AFUB_001370	2616
AFUB_001380	0
AFUB_001390	0
AFUB_001400	6288
AFUB_001410	1649
AFUB_001420	923
AFUB_001430	1052
AFUB_001440	1396
AFUB_001450	78
AFUB_001460	2690
AFUB_001470	21669
AFUB_001480	1886
AFUB_001490	683
AFUB_001500	102
AFUB_001510	2120
AFUB_001520	19400
AFUB_001530	859
AFUB_001540	2173
AFUB_001550	3915
AFUB_001560	3705
AFUB_001570	5854
AFUB_001580	2855
AFUB_001590	1367
AFUB_001600	1259
AFUB_001610	1301
AFUB_001620	3538
AFUB_001630	1509
AFUB_001640	3813
AFUB_001650	362
AFUB_001660	947
AFUB_001670	752
AFUB_001680	75
AFUB_001690	2612
AFUB_001700	4863
AFUB_001710	1488
AFUB_001720	2621
AFUB_001730	354
AFUB_001740	235
AFUB_001750	55041
AFUB_001760	5993
AFUB_001770	1433
AFUB_001780	2117
AFUB_001790	9289
AFUB_001800	467
AFUB_001810	29676
AFUB_001820	2464
AFUB_001830	3415
AFUB_001840	1294
AFUB_001850	2014
AFUB_001860	1028
AFUB_001870	3829
AFUB_001880	2538
