Geneid	HISAT2 on data 137 and data 1: aligned reads (BAM)
AFUB_000010	60
AFUB_000020	97
AFUB_000030	28
AFUB_000040	160
AFUB_000050	0
AFUB_000060	2
AFUB_000070	0
AFUB_000080	17
AFUB_000090	4
AFUB_000100	52
AFUB_000110	412
AFUB_000120	22
AFUB_000130	13
AFUB_000140	38
AFUB_000150	33
AFUB_000160	1
AFUB_000170	2
AFUB_000180	0
AFUB_000190	2
AFUB_000200	0
AFUB_000210	2
AFUB_000220	0
AFUB_000230	2
AFUB_000240	688
AFUB_000250	34
AFUB_000260	40
AFUB_000270	39
AFUB_000280	68
AFUB_000290	10
AFUB_000300	151
AFUB_000310	583
AFUB_000320	8
AFUB_000330	4
AFUB_000340	15571
AFUB_000350	135
AFUB_000360	38
AFUB_000370	70
AFUB_000380	513
AFUB_000390	399
AFUB_000400	261
AFUB_000410	2211
AFUB_000420	4958
AFUB_000430	1139
AFUB_000440	1197
AFUB_000450	3490
AFUB_000460	164
AFUB_000470	579
AFUB_000480	62
AFUB_000490	2394
AFUB_000500	1035
AFUB_000510	2671
AFUB_000520	629
AFUB_000530	2429
AFUB_000540	1123
AFUB_000550	1203
AFUB_000560	76
AFUB_000570	867
AFUB_000580	381
AFUB_000590	66
AFUB_000600	56
AFUB_000610	163
AFUB_000620	968
AFUB_000630	8512
AFUB_000640	61
AFUB_000650	712
AFUB_000660	15527
AFUB_000670	77
AFUB_000680	0
AFUB_000690	5867
AFUB_000700	129
AFUB_000710	18
AFUB_000720	9
AFUB_000730	85
AFUB_000740	7
AFUB_000750	22
AFUB_000760	2
AFUB_000770	6
AFUB_000780	6
AFUB_000790	4
AFUB_000800	4
AFUB_000810	13
AFUB_000820	2
AFUB_000830	14
AFUB_000840	168
AFUB_000850	407
AFUB_000860	190
AFUB_000870	66
AFUB_000880	3110
AFUB_000890	106
AFUB_000900	351
AFUB_000910	168
AFUB_000920	67
AFUB_000930	212
AFUB_000940	528
AFUB_000950	114
AFUB_000960	41
AFUB_000970	7
AFUB_000980	137
AFUB_000990	15324
AFUB_001000	812
AFUB_001010	4
AFUB_001020	10
AFUB_001030	4
AFUB_001040	94
AFUB_001050	4158
AFUB_001060	673
AFUB_001070	7370
AFUB_001080	1230
AFUB_001090	0
AFUB_001100	1076
AFUB_001110	1170
AFUB_001120	22
AFUB_001130	5
AFUB_001140	1606
AFUB_001150	196
AFUB_001160	237
AFUB_001170	362
AFUB_001180	2751
AFUB_001190	44396
AFUB_001200	6715
AFUB_001210	1120
AFUB_001220	643
AFUB_001230	864
AFUB_001240	0
AFUB_001250	1283
AFUB_001260	1664
AFUB_001270	1
AFUB_001280	85
AFUB_001290	2228
AFUB_001300	2022
AFUB_001310	1601
AFUB_001320	1179
AFUB_001330	2244
AFUB_001340	3998
AFUB_001350	898
AFUB_001360	32
AFUB_001370	1225
AFUB_001380	5
AFUB_001390	0
AFUB_001400	2179
AFUB_001410	680
AFUB_001420	789
AFUB_001430	699
AFUB_001440	3155
AFUB_001450	32
AFUB_001460	2240
AFUB_001470	20326
AFUB_001480	515
AFUB_001490	1041
AFUB_001500	68
AFUB_001510	546
AFUB_001520	25490
AFUB_001530	806
AFUB_001540	984
AFUB_001550	2824
AFUB_001560	2099
AFUB_001570	2463
AFUB_001580	1649
AFUB_001590	1248
AFUB_001600	471
AFUB_001610	660
AFUB_001620	5207
AFUB_001630	696
AFUB_001640	1132
AFUB_001650	193
AFUB_001660	811
AFUB_001670	367
AFUB_001680	19
AFUB_001690	1549
AFUB_001700	1149
AFUB_001710	635
AFUB_001720	676
AFUB_001730	230
AFUB_001740	276
AFUB_001750	56023
AFUB_001760	1470
AFUB_001770	470
AFUB_001780	2586
AFUB_001790	3666
AFUB_001800	377
AFUB_001810	7947
AFUB_001820	1485
AFUB_001830	2033
AFUB_001840	384
AFUB_001850	1259
AFUB_001860	661
AFUB_001870	1667
AFUB_001880	1193
AFUB_001890	718
AFUB_001900	2381
AFUB_001910	175
AFUB_001920	247
AFUB_001930	318
AFUB_001940	1198
AFUB_001950	321
AFUB_001960	569
AFUB_001970	106
AFUB_001980	47
AFUB_001990	274
AFUB_002000	2645
AFUB_002010	389
AFUB_002020	201
AFUB_002030	375
AFUB_002040	2332
AFUB_002050	97
AFUB_002060	171
AFUB_002070	78
AFUB_002080	1159
AFUB_002090	2561
AFUB_002100	750
AFUB_002110	13
AFUB_002120	4733
AFUB_002130	42
AFUB_002140	5953
AFUB_002150	367
AFUB_002160	1460
AFUB_002170	301
AFUB_002180	22
AFUB_002190	578
AFUB_002200	12
AFUB_002210	1
AFUB_002220	0
AFUB_002230	477
AFUB_002240	354
AFUB_002250	425
AFUB_002260	1265
AFUB_002270	61
AFUB_002280	36
AFUB_002290	478
AFUB_002300	13
AFUB_002310	20
AFUB_002320	1155
AFUB_002330	2370
AFUB_002340	402
AFUB_002350	1937
AFUB_002360	33
AFUB_002370	1017
AFUB_002380	56
AFUB_002390	1606
AFUB_002400	264
AFUB_002410	10031
AFUB_002420	333
AFUB_002430	540
AFUB_002440	12
AFUB_002450	8726
AFUB_002460	309
AFUB_002470	692
AFUB_002480	58
AFUB_002490	1848
AFUB_002500	130
AFUB_002510	538
AFUB_002520	976
AFUB_002530	2824
AFUB_002540	521
AFUB_002550	582
AFUB_002560	503
AFUB_002570	7677
AFUB_002580	298
AFUB_002590	2921
AFUB_002600	176
AFUB_002610	10
AFUB_002620	0
AFUB_002630	0
AFUB_002640	0
AFUB_002650	6
AFUB_002660	1316
AFUB_002670	121
AFUB_002680	38420
AFUB_002690	8
AFUB_002700	7
AFUB_002710	23
AFUB_002720	584
AFUB_002730	2265
AFUB_002740	163
AFUB_002750	42
AFUB_002760	197
AFUB_002770	204
AFUB_002780	721
AFUB_002790	616
AFUB_002800	1591
AFUB_002810	598
AFUB_002820	630
AFUB_002830	103
AFUB_002840	475
AFUB_002850	1150
AFUB_002860	5
AFUB_002870	484
AFUB_002880	480
AFUB_002890	1658
AFUB_002900	5
AFUB_002910	235
AFUB_002920	1418
AFUB_002930	35715
AFUB_002940	493
AFUB_002950	2373
AFUB_002960	2507
AFUB_002970	2459
AFUB_002980	2016
AFUB_002990	1768
AFUB_003000	1184
AFUB_003010	2640
AFUB_003020	0
AFUB_003030	0
AFUB_003040	360
AFUB_003050	153
AFUB_003060	6
AFUB_003070	2644
AFUB_003080	103
AFUB_003090	155
AFUB_003100	576
AFUB_003110	946
AFUB_003120	2782
AFUB_003130	6
AFUB_003140	3
AFUB_003150	789
AFUB_003160	21
AFUB_003170	433
AFUB_003180	22
AFUB_003190	634
AFUB_003200	436
AFUB_003210	894
AFUB_003220	985
AFUB_003230	346
AFUB_003240	19
AFUB_003250	142
AFUB_003260	335
AFUB_003270	2256
AFUB_003280	961
AFUB_003290	2164
AFUB_003300	565
AFUB_003310	889
AFUB_003320	331
AFUB_003330	65
AFUB_003340	3
AFUB_003350	135
AFUB_003360	6307
AFUB_003370	1257
AFUB_003380	730
AFUB_003390	1732
AFUB_003400	567
AFUB_003410	924
AFUB_003420	1136
AFUB_003430	405
AFUB_003440	24084
AFUB_003450	632
AFUB_003460	4755
AFUB_003470	529
AFUB_003480	1919
AFUB_003490	945
AFUB_003500	569
AFUB_003510	15966
AFUB_003520	6291
AFUB_003530	1217
AFUB_003540	546
AFUB_003550	198
AFUB_003560	8827
AFUB_003570	250
AFUB_003580	87
AFUB_003590	4
AFUB_003600	980
AFUB_003610	238
AFUB_003620	8
AFUB_003629	5
AFUB_003630	75
AFUB_003640	0
AFUB_003650	4
AFUB_003660	2
AFUB_003670	0
AFUB_003680	1
AFUB_003690	5
AFUB_003700	0
AFUB_003710	0
AFUB_003720	7
AFUB_003730	0
AFUB_003740	0
AFUB_003750	0
AFUB_003760	20
AFUB_003770	14
AFUB_003780	757
AFUB_003790	3317
AFUB_003800	42734
AFUB_003810	6563
AFUB_003820	867
AFUB_003830	650
AFUB_003840	478
AFUB_003850	458
AFUB_003860	935
AFUB_003870	756
AFUB_003880	0
AFUB_003890	5
AFUB_003900	809
AFUB_003910	1825
AFUB_003920	18069
AFUB_003930	8
AFUB_003940	163
AFUB_003950	844
AFUB_003960	489
AFUB_003970	440
AFUB_003980	1
AFUB_003990	29
AFUB_004000	676
AFUB_004010	190
AFUB_004020	5617
AFUB_004030	2144
AFUB_004040	17652
AFUB_004050	532
AFUB_004060	2295
AFUB_004070	3833
AFUB_004080	0
AFUB_004090	1369
AFUB_004100	487
AFUB_004110	387
AFUB_004120	457
AFUB_004130	5893
AFUB_004140	198
AFUB_004150	1693
AFUB_004160	380
AFUB_004170	1693
AFUB_004185	281
AFUB_004200	2238
AFUB_004210	1573
AFUB_004220	1126
AFUB_004230	511
AFUB_004240	1287
AFUB_004250	1285
AFUB_004260	4
AFUB_004270	254
AFUB_004280	214
AFUB_004290	930
AFUB_004300	9
AFUB_004310	631
AFUB_004320	1313
AFUB_004330	1124
AFUB_004340	2675
AFUB_004350	5296
AFUB_004360	1010
AFUB_004370	3040
AFUB_004380	575
AFUB_004390	591
AFUB_004400	2148
AFUB_004410	23890
AFUB_004420	2212
AFUB_004430	40607
