Geneid	HISAT2 on data 32 and data 1: aligned reads (BAM)
AFUB_000010	32
AFUB_000020	209
AFUB_000030	41
AFUB_000040	367
AFUB_000050	2
AFUB_000060	0
AFUB_000070	0
AFUB_000080	9
AFUB_000090	14
AFUB_000100	20
AFUB_000110	1191
AFUB_000120	9
AFUB_000130	6
AFUB_000140	15
AFUB_000150	14
AFUB_000160	2
AFUB_000170	0
AFUB_000180	0
AFUB_000190	0
AFUB_000200	0
AFUB_000210	6
AFUB_000220	3
AFUB_000230	0
AFUB_000240	992
AFUB_000250	45
AFUB_000260	26
AFUB_000270	24
AFUB_000280	142
AFUB_000290	40
AFUB_000300	109
AFUB_000310	453
AFUB_000320	23
AFUB_000330	4
AFUB_000340	21337
AFUB_000350	270
AFUB_000360	73
AFUB_000370	57
AFUB_000380	683
AFUB_000390	1352
AFUB_000400	753
AFUB_000410	4669
AFUB_000420	4559
AFUB_000430	2468
AFUB_000440	1360
AFUB_000450	4532
AFUB_000460	916
AFUB_000470	1004
AFUB_000480	72
AFUB_000490	4804
AFUB_000500	3827
AFUB_000510	1026
AFUB_000520	1066
AFUB_000530	7115
AFUB_000540	817
AFUB_000550	1933
AFUB_000560	922
AFUB_000570	1581
AFUB_000580	2632
AFUB_000590	295
AFUB_000600	374
AFUB_000610	259
AFUB_000620	805
AFUB_000630	17077
AFUB_000640	41
AFUB_000650	827
AFUB_000660	7715
AFUB_000670	165
AFUB_000680	0
AFUB_000690	1890
AFUB_000700	338
AFUB_000710	18
AFUB_000720	2
AFUB_000730	113
AFUB_000740	1
AFUB_000750	16
AFUB_000760	7
AFUB_000770	2
AFUB_000780	6
AFUB_000790	4
AFUB_000800	0
AFUB_000810	26
AFUB_000820	25
AFUB_000830	12
AFUB_000840	905
AFUB_000850	816
AFUB_000860	532
AFUB_000870	35
AFUB_000880	2628
AFUB_000890	30
AFUB_000900	105
AFUB_000910	6
AFUB_000920	87
AFUB_000930	516
AFUB_000940	400
AFUB_000950	80
AFUB_000960	726
AFUB_000970	121
AFUB_000980	450
AFUB_000990	9197
AFUB_001000	276
AFUB_001010	27
AFUB_001020	15
AFUB_001030	13
AFUB_001040	36
AFUB_001050	10209
AFUB_001060	3180
AFUB_001070	10143
AFUB_001080	7693
AFUB_001090	0
AFUB_001100	4587
AFUB_001110	4472
AFUB_001120	13
AFUB_001130	9
AFUB_001140	2341
AFUB_001150	302
AFUB_001160	117
AFUB_001170	924
AFUB_001180	5528
AFUB_001190	42733
AFUB_001200	10013
AFUB_001210	1929
AFUB_001220	915
AFUB_001230	2101
AFUB_001240	0
AFUB_001250	6009
AFUB_001260	533
AFUB_001270	1
AFUB_001280	70
AFUB_001290	1279
AFUB_001300	534
AFUB_001310	3003
AFUB_001320	5973
AFUB_001330	2589
AFUB_001340	25673
AFUB_001350	396
AFUB_001360	44
AFUB_001370	9498
AFUB_001380	0
AFUB_001390	0
AFUB_001400	16100
AFUB_001410	2963
AFUB_001420	1064
AFUB_001430	900
AFUB_001440	1106
AFUB_001450	80
AFUB_001460	1219
AFUB_001470	19957
AFUB_001480	3177
AFUB_001490	372
AFUB_001500	132
AFUB_001510	6232
AFUB_001520	17316
AFUB_001530	700
AFUB_001540	2007
AFUB_001550	3700
AFUB_001560	3748
AFUB_001570	5428
AFUB_001580	1813
AFUB_001590	1009
AFUB_001600	682
AFUB_001610	616
AFUB_001620	2294
AFUB_001630	1350
AFUB_001640	8214
AFUB_001650	296
AFUB_001660	691
AFUB_001670	734
AFUB_001680	56
AFUB_001690	3033
AFUB_001700	8841
AFUB_001710	854
AFUB_001720	4945
AFUB_001730	337
AFUB_001740	204
AFUB_001750	52277
AFUB_001760	7435
AFUB_001770	1935
AFUB_001780	2377
AFUB_001790	5912
AFUB_001800	439
AFUB_001810	192593
AFUB_001820	2862
AFUB_001830	1834
AFUB_001840	923
AFUB_001850	1882
AFUB_001860	654
AFUB_001870	3685
AFUB_001880	2764
AFUB_001890	4458
AFUB_001900	8284
AFUB_001910	26
AFUB_001920	394
AFUB_001930	623
AFUB_001940	4704
AFUB_001950	1118
AFUB_001960	794
AFUB_001970	159
AFUB_001980	24
AFUB_001990	672
AFUB_002000	3386
AFUB_002010	461
AFUB_002020	619
AFUB_002030	178
AFUB_002040	3277
AFUB_002050	279
AFUB_002060	316
AFUB_002070	185
AFUB_002080	766
AFUB_002090	1612
AFUB_002100	678
AFUB_002110	10
AFUB_002120	9944
AFUB_002130	68
AFUB_002140	9807
AFUB_002150	1461
AFUB_002160	4457
AFUB_002170	233
AFUB_002180	417
AFUB_002190	394
AFUB_002200	20
AFUB_002210	7
AFUB_002220	0
AFUB_002230	616
AFUB_002240	1643
AFUB_002250	583
AFUB_002260	1591
AFUB_002270	51
AFUB_002280	25
AFUB_002290	1355
AFUB_002300	206
AFUB_002310	28
AFUB_002320	1814
AFUB_002330	916
AFUB_002340	2103
AFUB_002350	3013
AFUB_002360	33
AFUB_002370	3656
AFUB_002380	119
AFUB_002390	4662
AFUB_002400	869
AFUB_002410	38699
AFUB_002420	413
AFUB_002430	2246
AFUB_002440	81
AFUB_002450	27506
AFUB_002460	896
AFUB_002470	535
AFUB_002480	149
AFUB_002490	5134
AFUB_002500	329
AFUB_002510	2769
AFUB_002520	1996
AFUB_002530	7802
AFUB_002540	1396
AFUB_002550	1902
AFUB_002560	1292
AFUB_002570	4671
AFUB_002580	497
AFUB_002590	6761
AFUB_002600	254
AFUB_002610	16
AFUB_002620	0
AFUB_002630	0
AFUB_002640	0
AFUB_002650	5
AFUB_002660	2743
AFUB_002670	664
AFUB_002680	9323
AFUB_002690	0
AFUB_002700	3
AFUB_002710	23
AFUB_002720	684
AFUB_002730	3950
AFUB_002740	358
AFUB_002750	101
AFUB_002760	130
AFUB_002770	51
AFUB_002780	939
AFUB_002790	2205
AFUB_002800	5991
AFUB_002810	1754
AFUB_002820	1385
AFUB_002830	372
AFUB_002840	906
AFUB_002850	4607
AFUB_002860	55
AFUB_002870	1158
AFUB_002880	1193
AFUB_002890	4195
AFUB_002900	2
AFUB_002910	364
AFUB_002920	6491
AFUB_002930	51085
AFUB_002940	389
AFUB_002950	11504
AFUB_002960	1975
AFUB_002970	6767
AFUB_002980	5687
AFUB_002990	3580
AFUB_003000	842
AFUB_003010	10513
AFUB_003020	0
AFUB_003030	0
AFUB_003040	1314
AFUB_003050	134
AFUB_003060	5
AFUB_003070	3870
AFUB_003080	3563
AFUB_003090	452
AFUB_003100	1572
AFUB_003110	1021
AFUB_003120	2828
AFUB_003130	4
AFUB_003140	0
AFUB_003150	7594
AFUB_003160	53
AFUB_003170	418
AFUB_003180	120
AFUB_003190	485
AFUB_003200	306
AFUB_003210	2592
AFUB_003220	3903
AFUB_003230	408
AFUB_003240	18
AFUB_003250	3093
AFUB_003260	497
