Geneid	HISAT2 on data 151 and data 1: aligned reads (BAM)
AFUB_000010	47
AFUB_000020	156
AFUB_000030	16
AFUB_000040	235
AFUB_000050	0
AFUB_000060	0
AFUB_000070	0
AFUB_000080	4
AFUB_000090	4
AFUB_000100	26
AFUB_000110	1121
AFUB_000120	24
AFUB_000130	2
AFUB_000140	16
AFUB_000150	14
AFUB_000160	0
AFUB_000170	0
AFUB_000180	0
AFUB_000190	0
AFUB_000200	2
AFUB_000210	2
AFUB_000220	0
AFUB_000230	0
AFUB_000240	491
AFUB_000250	17
AFUB_000260	64
AFUB_000270	40
AFUB_000280	121
AFUB_000290	32
AFUB_000300	102
AFUB_000310	381
AFUB_000320	12
AFUB_000330	10
AFUB_000340	16712
AFUB_000350	405
AFUB_000360	43
AFUB_000370	46
AFUB_000380	117
AFUB_000390	560
AFUB_000400	730
AFUB_000410	5268
AFUB_000420	9856
AFUB_000430	2193
AFUB_000440	1404
AFUB_000450	4303
AFUB_000460	977
AFUB_000470	1551
AFUB_000480	49
AFUB_000490	2337
AFUB_000500	3605
AFUB_000510	1581
AFUB_000520	981
AFUB_000530	9715
AFUB_000540	592
AFUB_000550	1575
AFUB_000560	888
AFUB_000570	1325
AFUB_000580	2266
AFUB_000590	319
AFUB_000600	241
AFUB_000610	152
AFUB_000620	1018
AFUB_000630	11408
AFUB_000640	37
AFUB_000650	669
AFUB_000660	6643
AFUB_000670	86
AFUB_000680	0
AFUB_000690	2487
AFUB_000700	319
AFUB_000710	24
AFUB_000720	6
AFUB_000730	142
AFUB_000740	1
AFUB_000750	11
AFUB_000760	0
AFUB_000770	4
AFUB_000780	3
AFUB_000790	4
AFUB_000800	3
AFUB_000810	8
AFUB_000820	34
AFUB_000830	6
AFUB_000840	369
AFUB_000850	500
AFUB_000860	464
AFUB_000870	23
AFUB_000880	5911
AFUB_000890	44
AFUB_000900	135
AFUB_000910	10
AFUB_000920	123
AFUB_000930	499
AFUB_000940	901
AFUB_000950	96
AFUB_000960	475
AFUB_000970	113
AFUB_000980	366
AFUB_000990	15212
AFUB_001000	374
AFUB_001010	24
AFUB_001020	22
AFUB_001030	4
AFUB_001040	46
AFUB_001050	14373
AFUB_001060	1491
AFUB_001070	10864
AFUB_001080	7321
AFUB_001090	0
AFUB_001100	3699
AFUB_001110	1764
AFUB_001120	49
AFUB_001130	10
AFUB_001140	2305
AFUB_001150	154
AFUB_001160	59
AFUB_001170	302
AFUB_001180	2061
AFUB_001190	19433
AFUB_001200	11109
AFUB_001210	1070
AFUB_001220	665
AFUB_001230	1181
AFUB_001240	1
AFUB_001250	3815
AFUB_001260	2418
AFUB_001270	4
AFUB_001280	57
AFUB_001290	1808
AFUB_001300	856
AFUB_001310	1801
AFUB_001320	4365
AFUB_001330	3136
AFUB_001340	21314
AFUB_001350	262
AFUB_001360	72
AFUB_001370	3918
