Geneid	HISAT2 on data 179 and data 1: aligned reads (BAM)
AFUB_000010	147
AFUB_000020	180
AFUB_000030	31
AFUB_000040	321
AFUB_000050	0
AFUB_000060	0
AFUB_000070	1
AFUB_000080	10
AFUB_000090	0
AFUB_000100	54
AFUB_000110	1071
AFUB_000120	29
AFUB_000130	4
AFUB_000140	37
AFUB_000150	35
AFUB_000160	6
AFUB_000170	0
AFUB_000180	0
AFUB_000190	1
AFUB_000200	0
AFUB_000210	12
AFUB_000220	2
AFUB_000230	0
AFUB_000240	901
AFUB_000250	49
AFUB_000260	47
AFUB_000270	84
AFUB_000280	124
AFUB_000290	43
AFUB_000300	305
AFUB_000310	1036
AFUB_000320	22
AFUB_000330	14
AFUB_000340	34766
AFUB_000350	567
AFUB_000360	61
AFUB_000370	154
AFUB_000380	212
AFUB_000390	1048
AFUB_000400	729
AFUB_000410	6996
AFUB_000420	8686
AFUB_000430	2855
AFUB_000440	2475
AFUB_000450	6806
AFUB_000460	463
AFUB_000470	1557
AFUB_000480	87
AFUB_000490	2385
AFUB_000500	3767
AFUB_000510	3354
AFUB_000520	1293
AFUB_000530	9671
AFUB_000540	1530
AFUB_000550	2955
AFUB_000560	436
AFUB_000570	1621
AFUB_000580	1673
AFUB_000590	292
AFUB_000600	211
AFUB_000610	224
AFUB_000620	2509
AFUB_000630	23197
AFUB_000640	53
AFUB_000650	1268
AFUB_000660	10293
AFUB_000670	193
AFUB_000680	0
AFUB_000690	5329
AFUB_000700	451
AFUB_000710	31
AFUB_000720	20
AFUB_000730	157
AFUB_000740	3
AFUB_000750	34
AFUB_000760	14
AFUB_000770	3
AFUB_000780	20
AFUB_000790	7
AFUB_000800	2
AFUB_000810	10
AFUB_000820	27
AFUB_000830	17
AFUB_000840	504
AFUB_000850	687
AFUB_000860	378
AFUB_000870	28
AFUB_000880	4169
AFUB_000890	89
AFUB_000900	392
AFUB_000910	129
AFUB_000920	208
AFUB_000930	899
AFUB_000940	2700
AFUB_000950	101
AFUB_000960	271
AFUB_000970	54
AFUB_000980	290
AFUB_000990	21883
AFUB_001000	902
AFUB_001010	25
AFUB_001020	35
AFUB_001030	16
AFUB_001040	130
AFUB_001050	8065
AFUB_001060	1676
AFUB_001070	14820
AFUB_001080	4592
AFUB_001090	0
AFUB_001100	2225
AFUB_001110	2217
AFUB_001120	69
AFUB_001130	7
AFUB_001140	2456
AFUB_001150	329
AFUB_001160	144
AFUB_001170	500
AFUB_001180	3655
AFUB_001190	37685
AFUB_001200	15056
AFUB_001210	1696
AFUB_001220	938
AFUB_001230	1825
AFUB_001240	0
AFUB_001250	4897
AFUB_001260	6785
AFUB_001270	10
AFUB_001280	164
AFUB_001290	3027
AFUB_001300	2753
