baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
653635	254.29979115847	-0.280893788468599	0.435329598014139	-0.645243947918919	0.518769110295912	0.838377662611053
102466751	25.2498081512673	0.146039879045705	0.795813235610212	0.183510241487407	0.854397683681833	0.967982005435632
729737	1046.18556372114	0.177770030349401	0.29103295843864	0.610824393577683	0.541315842406501	0.849292500827636
102725121	2.9404389050136	-0.950116125978192	2.2120312058049	-0.429522026400377	0.667543367907958	NA
102723897	173.860890785693	-0.0998161089144649	0.58348042442637	-0.171070193164742	0.864168572763539	0.970257290448675
102465909	0.340956586048141	-1.82278261752254	4.0319709907806	-0.452082274820546	0.651209712447158	NA
100132287	6.76186531157645	-0.263450290594048	1.14354845396459	-0.230379648261241	0.817796774198919	NA
105378947	1.14848675821753	1.05146502806366	2.85850427219697	0.367837486999986	0.712994415098758	NA
101928626	2.65216962024655	1.6427112996019	1.7499363777547	0.938726299129584	0.347871287190799	NA
102465432	6.71208385037477	0.656420865675816	1.15610904499327	0.567784560218227	0.570181265004802	NA
100133331	56.5990292541365	-0.176721615417857	0.424991604732597	-0.415823779693366	0.67753895676424	0.909521727897948
100288069	20.8148950042925	0.545364488262183	0.693573097924547	0.786311478767177	0.431685029250029	0.798603651834588
400728	11.7436669779924	0.27944912532758	0.988854758639753	0.282598756678872	0.777484433523605	0.9420786942138
79854	39.9754507941599	-0.815139150905085	0.495963090927348	-1.64354800955237	0.100269600683321	0.434293976765525
643837	490.10483229322	-0.292887985941892	0.251663184453295	-1.16380942479987	0.244501251846927	0.64231403208118
284593	3.97923517944978	-5.38474254643581	2.54981849721453	-2.11181405747829	0.0347024010794216	NA
100130417	0.144301629004502	-0.851341263700153	4.0804728567969	-0.208637894081825	0.834730926308699	NA
148398	2.99389417984211	-1.41467517942031	1.85922033419367	-0.760897002578154	0.446718589030876	NA
26155	2490.20234199368	-0.0156846554885819	0.213735358346554	-0.0733835319056126	0.941500921895506	0.988385730318419
339451	333.962883464481	-0.270332067096778	0.290377679219196	-0.930967104027008	0.351870580841955	0.747386401486239
84069	33.5173037886306	-0.395979561302794	0.780130687915816	-0.507581059733321	0.611747176154324	0.881311270227647
84808	6.93695390282907	-0.611962947864454	1.51317914109986	-0.404422008764704	0.685902418591394	NA
57801	36.342305774283	-0.557536644892831	0.54268089714912	-1.02737473867562	0.304244041770313	0.703584181152868
9636	689.709002455715	-0.361871422689597	0.218344937813969	-1.65733827544888	0.0974511030252022	0.427323817283525
375790	4750.52274375981	0.625288307154685	0.146891138426218	4.25681435826547	2.07360397573873e-05	0.00139743707563149
105369174	118.620689473966	1.47568212496432	0.382806310527644	3.85490542966833	0.00011577437406733	0.00506911510886416
105378948	59.7440707220492	0.650519839825829	0.518705204443518	1.25412244614689	0.209797502941501	0.604631248103336
401934	2.26884171714477	0.706579597193404	2.35728855353043	0.299742513972328	0.764373567273026	NA
54991	527.889659693566	0.235754325189854	0.215982596374534	1.09154315739882	0.275033952507691	0.675045397513734
254099	0	NA	NA	NA	NA	NA
554210	0	NA	NA	NA	NA	NA
254173	0.440458632134254	-2.21810129792163	4.00236528483824	-0.55419761567597	0.579443609921846	NA
8784	58.6225197836731	0.568075468640745	0.673330431552081	0.843680074478863	0.398848204889241	0.778219632861943
7293	114.724946259086	1.89521670652114	0.571745331855665	3.31479174542623	0.000917114221024677	0.0240787762446407
51150	15279.5380487931	0.285862002684184	0.140267161551357	2.03798237251361	0.0415516957785842	0.278463949651775
126792	1687.43444790299	-0.13567632924285	0.185623292724999	-0.730922974434329	0.464826202129055	0.814783957856975
388581	10.7872007967523	-0.63413903961451	1.09565113478611	-0.578778243805043	0.562738812947997	0.860731383610566
118424	2255.23704735045	-0.065788890810345	0.181118426719466	-0.363236872150205	0.716427945921237	0.924515487360334
6339	63.7800200029667	0.0879093250083173	0.621004488429805	0.14155988667746	0.887427653559411	0.97653474928084
116983	1831.47804568483	0.160351413642483	0.23166161597719	0.69217946601163	0.488824632262508	0.823987370985374
126789	357.941066839849	-0.182408921630068	0.263094665306079	-0.693320487581372	0.488108448627255	0.82343196079681
54973	2107.35326868227	-0.0860049829982797	0.181279508023159	-0.474433011961243	0.635191156775053	0.890778239037052
80772	1330.64691771811	0.134746089791938	0.1513684514375	0.890186089058156	0.373365972935248	0.760741840920921
83756	23.6088039219591	-0.938718537963209	0.685294874671663	-1.36980236195837	0.170748604567362	0.555576284421299
1855	2100.02091993256	-0.103842104937471	0.184668288385343	-0.562316929698214	0.573900105677189	0.864023106681488
54587	184.98653354349	0.47316643715092	0.252277973562308	1.87557570115829	0.0607135655883578	0.340825060130417
54998	2693.56851948518	0.146326090106122	0.175096263350475	0.835689393400896	0.403329663758795	0.780094300067268
81669	4212.74274353018	-0.380131058954602	0.207722063257087	-1.82999847485692	0.0672501668980696	0.358929357926048
148413	565.432064287125	-0.102975084241884	0.228160028281251	-0.451328328706846	0.65175293043316	0.897479741492894
55052	1398.27705023957	0.142566150331755	0.206527884331255	0.690299766510413	0.49000569468474	0.824040372129562
441869	12.2719916934273	0.029424470662453	1.14881524425632	0.0256128831938515	0.979566110139076	0.996657569994424
102724312	0	NA	NA	NA	NA	NA
64856	7.23156081556386	0.475748901842018	1.42581878570061	0.33366715785572	0.738630734834583	NA
219293	12.1033616544578	-0.526445836692614	1.10246567665062	-0.477516758881782	0.632994189967153	0.889745005197967
83858	1054.88412066688	-0.1057915027386	0.312343876777203	-0.338702022367679	0.734834216998327	0.929916255276798
55210	978.690885044604	0.187660572303512	0.2283722117337	0.821731203104248	0.411229896178692	0.785615526938149
339453	5.11732402669375	-1.98672409538324	1.49354351100293	-1.33020838077167	0.183449623636196	NA
29101	4836.68156082454	0.260436506408884	0.151817666640323	1.71545586342	0.08626168083669	0.40549367423843
643988	956.056087636256	0.316842179713559	0.20096304748368	1.57661910326718	0.114883194463615	0.463462575403007
142678	1389.26514497812	-0.233401548030523	0.26717821561592	-0.873580009105409	0.382347016879116	0.767844379956083
8510	3.96168837832375	-1.72585301783011	2.11487042812037	-0.816056149295158	0.414468022361775	NA
984	1598.88561890916	-0.0794822626210858	0.162545105948809	-0.488985885838467	0.624851689308652	0.887598941665831
728661	2383.66609983385	-0.162911538427657	0.169886564130141	-0.958943040974441	0.337587440323455	0.734982689785649
8511	12.3629840896162	-1.13648817672743	1.30148336111822	-0.87322528330364	0.382540296442654	0.767916169550773
