baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significance	Color	Gene
142.945801261311	0.662460946873849	0.451128473848528	1.46845296911203	0.141981222447499	0.443954822315694	Not Significant	grey	27395
222.411976378313	-0.216574231987305	0.394338110255233	-0.549209488900601	0.582861693254574	0.84678735906807	Not Significant	grey	18777
224.01505576829	-0.572579255316972	0.427490741922711	-1.33939568548713	0.180441893244819	0.503487375451304	Not Significant	grey	21399
470.104648536186	-0.263003839332722	0.359441614137991	-0.731701141403604	0.464350999601384	0.777540940705542	Not Significant	grey	108664
265.217253893359	0.567814897872722	0.398254108229877	1.42576030262812	0.153937543292631	0.462059155341871	Not Significant	grey	12421
69.82729947835	0.92720008009942	0.571660750031935	1.62194112512993	0.104815954838127	0.380410878969912	Not Significant	grey	240690
359.145161774195	0.150481350495219	0.385302411461165	0.390553876692739	0.696127024087694	0.900441687820297	Not Significant	grey	319263
73.0553349413289	0.387794448637686	0.654990555958859	0.592061129904359	0.553809654446634	0.832161564791132	Not Significant	grey	59014
6.80542210638238	-1.54579456499119	1.58051651138091	-0.97803126627296	0.32805886044612	0.673257038800734	Not Significant	grey	76187
5.15164176456831	1.04332832423896	1.86994975541973	0.557944576433162	0.576882230991988	0.843453247445887	Not Significant	grey	17864
420.579115243991	0.313950132876141	0.353864244425261	0.887205016675399	0.374968532008697	0.711231334386888	Not Significant	grey	70675
401.027364539718	0.763405720365354	0.367018360741707	2.08002051674632	0.0375236510698929	0.205901422851106	Not Significant	grey	170755
6.43827612433104	1.02968516538758	1.62766182744801	0.632616154058253	0.526984335435806	0.817261096325362	Not Significant	grey	620986
43.4073359267878	2.04873429887897	0.744392972683268	2.75222143956306	0.0059192480591073	0.0597848610742785	Significant	red	73824
10.1281179602831	1.00155013435916	1.49546423017765	0.669725235915665	0.503032961347714	0.802101352119511	Not Significant	grey	100038398
324.104870057305	0.11002978449985	0.377705612212136	0.291310960023681	0.770813505888812	0.929937765265399	Not Significant	grey	26754
160.167024860951	0.23950219741588	0.449945308830281	0.532291797948758	0.594523912076017	0.852125887083227	Not Significant	grey	211660
920.16932959384	-0.211058057455627	0.330130889082583	-0.639316296763827	0.522617188857344	0.814846391282371	Not Significant	grey	211673
281.002344902704	0.704068151221382	0.425382053582815	1.65514305385314	0.0978954833143517	0.367505866562638	Not Significant	grey	240726
1167.01549133879	0.0139734610724326	0.341216867871824	0.0409518473092652	0.967334283911209	0.992289011652167	Not Significant	grey	17978
896.338547033343	0.0627223070498359	0.329677791715799	0.190253358357563	0.849110600676311	0.957161079985261	Not Significant	grey	72265
151.441776372973	-0.0625306157229799	0.534327953290329	-0.11702666000894	0.906838927001717	0.975943460115046	Not Significant	grey	212442
213.017812078858	0.532490259325602	0.529385193021056	1.00586541963296	0.314480312693364	0.660579843505752	Not Significant	grey	21749
4479.11344615592	-0.446323072422917	0.414245339899463	-1.0774365561511	0.281285280027002	0.627309684506929	Not Significant	grey	19989
33.157292807687	1.5459737450773	0.807770383267594	1.91387772701386	0.0556357809324591	0.262191611290899	Not Significant	grey	98711
47.261836133634	0.62529987288695	0.662292705262387	0.944144285326559	0.345095921553805	0.687629433960455	Not Significant	grey	29819
304.228676483242	-1.02402166839529	0.398936579081436	-2.56687835132375	0.0102618606070195	0.0882277923748986	Significant	blue	66799
397.220981798437	-1.19841892866722	0.36583624632302	-3.27583431306329	0.00105350345973651	0.0161849711847108	Significant	blue	67923
211.298048681471	-0.393357182600638	0.519740550541091	-0.756833735969076	0.449149478591943	0.767896945416509	Not Significant	grey	70397
158.546131527028	-1.03311352251659	0.465404484529613	-2.21981858116551	0.026431085082104	0.164270884072574	Significant	blue	17087
191.113330654791	0.143733604499031	0.445100617466901	0.322923848807556	0.746752914375148	0.921500962810566	Not Significant	grey	17215
34.7290017829166	-1.0946213451102	0.727968564481628	-1.5036656780498	0.132667470792279	0.429322204210992	Not Significant	grey	74229
14.5928715832292	0.379988949283797	1.12016793592221	0.33922498323518	0.734440249999178	0.916952084482031	Not Significant	grey	71877
7.85153052873995	-0.854743023211746	1.63132517471942	-0.523956251308853	0.600308968793353	0.855441910564657	Not Significant	grey	170829
12.6015490989551	-0.807633068509677	1.13639972601888	-0.710694529414432	0.477273550411533	0.785273710013136	Not Significant	grey	75712
23.8780679953666	-4.36362867490455	1.03960289721559	-4.19739949416441	2.69997415414096e-05	0.000947156708618431	Significant	blue	14859
1569.82755318062	-0.863889055153828	0.365767932261422	-2.36185017590987	0.0181839894485329	0.127784650007901	Not Significant	grey	70155
23.5611266671932	-1.21807520479557	0.88009762241487	-1.3840228331186	0.166351463366318	0.482802553872081	Not Significant	grey	280645
199.765782740002	0.0192536431920676	0.416418627667087	0.0462362678152339	0.963121935836906	0.991106080904651	Not Significant	grey	98366
92.0278062587902	-1.43436171655449	0.509146306124686	-2.81718967475574	0.0048445906046539	0.0518019794075462	Significant	blue	68002
88.4137129258106	-0.593802446951764	0.537177976330447	-1.1054110055072	0.268981537125459	0.611406404554057	Not Significant	grey	68187
541.288743694866	-0.355029170127716	0.405165533161969	-0.876257087706889	0.380890287939204	0.715840220278235	Not Significant	grey	68421
559.246655713777	0.38229889842393	0.364324514951911	1.04933618994701	0.294023415267004	0.641658324413416	Not Significant	grey	213109
196.663321258649	1.01555251489717	0.472461163312619	2.14949416747127	0.0315952479404545	0.184810366909836	Significant	red	19243
60.4313535752383	0.0217927182112757	0.587737462222241	0.0370790014454366	0.970422014932316	0.992545293144006	Not Significant	grey	19076
