baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
20671	3.74540142805793	4.70000432629736	3.12324277758025	1.50484757702337	0.132363268643449	0.530906019344856
27395	464.678175807217	0.994328917986179	2.27386878869927	0.4372850900315	NA	NA
100503730	20.8964236262212	-2.61673921165228	2.95441660163984	-0.885704206441253	NA	NA
21399	1117.93215360598	1.01210610770169	1.15586565406644	0.875626076560897	0.381233344502877	0.819610195168582
58175	65.0186081305938	-3.03257655887511	2.94846569566108	-1.0285269940016	0.303701999703479	0.757588963456643
108664	408.610089878302	-0.965435841059937	1.30525032375584	-0.739655699361874	0.459508935189553	0.859869303922813
18387	0.0359792249353678	-0.67339690191038	3.22592523907346	-0.208745352729808	0.834647033604308	NA
226304	49.3165974330676	-4.37012385863927	2.95397158833407	-1.47940619195456	0.139031786226337	0.546591840110283
12421	3470.79648660491	-0.915188085769401	0.572365901884826	-1.59895633676927	0.109830304767833	0.483323886336809
240690	0.176905928760486	0.595655084756532	3.1925652773896	0.18657569477908	0.851993324848797	NA
319263	874.311545801467	-0.543025792316941	1.24310832987728	-0.436829019053029	0.662235352014743	0.93454806370866
71096	3.31408512331885	4.52462864997773	3.12409905068835	1.44829871798744	NA	NA
59014	561.79760789491	-1.83484543607884	1.21998026244964	-1.50399600104562	0.132582396405948	0.531122694399947
76187	5.72760363704018	20.1451326150292	3.12094891549707	6.45481011079629	NA	NA
17864	30.0671986297211	-5.75611801161985	2.97835003239572	-1.93265329763465	NA	NA
70675	251.260246766356	1.07352638939155	1.74548407957756	0.615030753904881	0.538534410622938	0.896358063961228
170755	517.378747152828	0.778430059151368	1.50508604071814	0.517199706921702	0.605016756604655	0.915669430608895
73824	110.081804831798	1.82069742911143	1.46159567923163	1.24569157871936	0.212877646504085	0.666251848840443
266793	10.6444300389554	-5.71476232617168	3.01422759395254	-1.89592927144494	NA	NA
26754	1143.58585583835	0.322846573242431	0.99082094593502	0.32583745283843	0.744547340488682	0.957131510787952
211660	251.894991648276	-1.24666337280795	1.90372307261368	-0.654855420277261	0.512560844785036	0.887348701916229
211673	1011.84415975385	-0.511878729002311	1.80978922904269	-0.282838863657662	0.777300361290588	0.96394740185769
109294	41.6569068654796	-3.83197217699621	1.81466805173937	-2.11166564227724	0.0347151379350937	0.244357715517663
240725	160.019770917044	6.59612439013646	2.45074207300947	2.69148045515721	0.00711356663632488	0.0767060752293298
240726	0.0720453287678011	-0.238910393192383	3.22152670984543	-0.0741606122532647	0.940882586379946	NA
17978	119.027854532629	-2.00388964570759	1.72118301795804	-1.16425134619614	0.24432216742763	0.705165642096063
72265	1342.30870281812	0.665532440445745	0.811138046455881	0.820492200253295	0.411935573863281	0.838747912272285
212442	21.7318206145274	5.85496530343406	2.2837324477782	2.56377024774957	0.0103542058827125	0.100712337964769
433273	1.21614704532585	2.03535570528598	1.67735474007684	1.21343187380431	0.224964746221791	0.683688258409557
14048	0.573217286269931	0.365988058680637	3.16655935131075	0.115579093292264	0.907986132979991	NA
17681	22.1676505948176	6.36738258584516	3.10099217068915	2.05333720156737	NA	NA
98741	0.660339417944291	-3.99671581898191	3.13037641930729	-1.27675246795602	0.201689651365054	0.650653901784498
21749	50.2654618675048	1.3527311050269	2.78908402854279	0.485009089429857	0.627669897925694	0.92318763196853
226866	0.0359792249353678	-0.67339690191038	3.22592523907346	-0.208745352729808	0.834647033604308	NA
665434	0.625749804004183	-1.33597790007663	3.10155346714152	-0.430744758789506	0.666653970178204	NA
19989	8764.01483330242	-0.674304077008653	0.488550799666773	-1.38021282017874	0.167521127848086	0.602087410974006
98711	206.528618369597	-0.92848950399321	1.79865877385734	-0.516212145120781	0.6057062486695	0.91577875116056
29819	64.8001437518277	0.980300952127764	1.83044627870461	0.535552976087075	0.592267535379554	0.913719076279095
66799	265.870586840192	-1.14962858153311	1.48235137303885	-0.775543911141896	0.438018328751663	0.849612221347634
67923	794.869501144853	-1.45010661113649	0.765624320609421	-1.89401847890912	0.0582225571360595	0.336791745401207
70397	308.621854374807	-1.09810026922902	1.86014126923381	-0.590331652434832	0.55496832271601	0.900782204611881
17087	22.3122094195849	1.23662016347333	2.95681690455825	0.418226830875779	NA	NA
57339	39.4571052042681	-1.6113151273387	2.9488707253487	-0.546417689147145	NA	NA
94227	10.3786785189712	0.539453962179539	2.96422429191892	0.181988240110642	NA	NA
83691	448.525986782721	-1.13292381759398	1.17593774084961	-0.963421598132781	0.335335991817048	0.787082400999893
21419	1803.64372071887	-0.501831105166044	0.838076126199461	-0.598789405255781	0.549313328292059	0.899279077768452
17215	705.81505253795	-0.870691521740176	1.32543452125028	-0.656910249265918	0.511238627580454	0.88699239936976
74229	0.935480842087746	-4.48024085400937	3.11075637618786	-1.44024163650507	0.149799047178546	0.567610492627454
75712	9.06676468371268	20.7614965958049	3.11933742914478	6.65573926110874	NA	NA
14859	211.462722579964	-3.22957942172777	1.71893511095059	-1.87882567593944	0.0602682999424251	0.341957093151586
226922	0.611646823901252	2.13338023953085	3.15377082225994	0.676453794446008	0.49875257273473	NA
70155	559.80761638998	0.467506429675251	1.43407871156114	0.325997747478117	0.744426059372505	0.957131510787952
98366	925.088008947091	0.995428160925139	1.20397554050848	0.826784371802715	0.408359289574669	0.836560368588586
68002	209.449083722473	-2.22298009206286	2.58500666479759	-0.859951396774028	0.389815834935444	0.826530209393103
68187	538.546871555876	-0.743987184159408	1.49232774606144	-0.498541413655911	0.618102487039295	0.918855365191857
12839	541.163446275623	-2.23219747355207	1.0186339678489	-2.1913636733182	NA	NA
12823	137.614349656576	-7.02064176697466	2.96200600462109	-2.37023211837572	NA	NA
68421	810.215384631268	1.79612253235282	0.656936650857855	2.73408787591218	0.00625533475483178	0.0691937230902784
433281	0.355641467970773	-2.99225115252605	3.19222856219771	-0.937354921248502	0.348576020756767	NA
665903	0.792498616445812	2.4886667847847	3.14655083084651	0.790918983538296	NA	NA
213109	1093.15269081987	-0.28887554695581	0.836610454358952	-0.345292776884027	0.729874276350261	0.954299287567264
