Geneid	HISAT2 on Control2 (BAM)
14472	2
208372	0
74918	0
12778	28
108679	528
433332	0
12835	219
171531	21
623503	0
19329	414
16978	770
329207	0
51801	49
67921	584
665783	12
50880	1956
227357	18
100503326	0
70788	0
227358	9
67444	520
67086	0
55927	1050
18627	421
74019	245
65247	223
13345	2
208727	71
67273	2170
259040	0
258228	0
259041	0
259039	0
258274	0
258483	0
258484	0
257890	0
66915	585
260301	0
14733	168
100504295	0
387167	0
241158	0
67446	192
108657	1550
100037260	0
23830	561
64095	29
208760	0
16560	6
11611	7964
71874	0
381284	0
208777	180
69821	353
269224	23
66385	571
404545	0
110611	11417
18000	1873
227377	348
59041	873
51800	172
67026	250
66615	569
21915	343
66262	213
98314	369
381334	3
100041596	3
666009	59
619597	0
241159	0
18566	2
74689	0
67698	243
20452	37
75381	0
100504401	46
73454	0
75159	0
227394	0
329217	4
67854	0
74441	0
634331	0
634346	0
52392	268
227399	956
252876	160
18484	712
78603	0
69030	0
70866	0
100504494	11
241175	0
100504525	0
23836	0
320311	666
100504568	16
27392	430
227446	487
100042023	0
21934	21
635504	18
227449	712
626049	8
98432	540
12043	37
320761	0
70750	485
20479	1304
20724	0
71869	0
241196	0
20248	0
394252	0
383548	0
381286	0
66957	0
116872	0
18788	0
241197	2
20725	97
241201	0
227485	0
319901	24
636808	0
634762	0
22099	902
67949	375
76707	260
68204	0
81879	245
14633	6
16324	25
100502628	0
64143	207
226351	229
226352	929
19258	56
66343	205
226356	0
319229	0
170706	1278
13167	8282
73103	17
68428	497
226359	0
17167	153
13798	0
98452	0
72999	8151
70829	309
15564	0
66942	268
100502702	0
269109	0
74117	1615
74150	1121
71111	45
72585	4
210356	35
107895	44
667090	28
72160	8
266645	309
100502745	1
72949	448
22625	0
226407	734
226409	96
226412	402
387147	0
67812	2094
226413	0
17219	89
226414	1276
12767	41
210417	0
100042740	1
13137	0
13136	262
22789	0
12269	9128
12270	6
18640	595
226418	179
212439	48
64435	4
100502856	9
18703	31468
69169	11
93672	0
58181	0
329244	0
16153	4
17164	1521
226419	25
16865	694
54354	307
56489	614
14270	466
108900	16
26361	0
13034	483
226421	13
320718	0
212933	4574
98396	110
226422	304
98415	996
212980	1179
13714	222
213006	126
18557	658
723818	0
213409	0
213417	73
74137	156
68875	104
213452	333
213464	511
74626	65
21367	16
269116	17
100038653	0
16980	0
17248	462
240752	65
108954	1977
240753	1326
100502933	12
68338	375
280287	15
19701	0
214253	2705
20668	211
20643	341
70579	2159
667118	361
240754	13
381290	170
269120	0
116847	958
100502984	0
14264	22
100502999	0
12227	226
667414	0
71884	0
12654	7
53311	1
11539	403
17928	0
68507	48
57439	2298
240755	0
72017	125
72674	1702
100861791	0
240756	368
98710	374
100503055	0
71001	0
75605	572
20980	0
329251	40
67196	9
329252	0
13924	8
100038590	0
320139	8
68724	257
171469	0
13710	13
215615	575
21854	456
93689	4
77552	0
226432	717
215690	126
13007	362
27280	29
21952	4
16763	2
21956	8
18772	2
226438	0
66241	504
12292	10
329253	0
16565	41
76422	0
67313	4
100042513	0
383563	0
67886	524
320054	2
67997	86
381293	9
71084	0
226442	456
100503460	9
100503474	28
667686	1
26424	1002
320138	0
735252	0
723890	0
19264	356
338375	0
59125	892
545363	0
16876	0
69549	71
75546	0
329260	331
170788	0
71209	0
226470	484
12316	40
14060	4800
50702	2134
624286	210
214403	4146
545366	8755
12628	21977
240776	49
75910	0
226472	0
214498	268
26878	2
69367	511
20822	203
56207	396
19735	70
100861894	0
246709	0
50778	18
624910	0
64214	8
215378	0
100043240	1
791353	0
100503781	0
18783	46
320019	0
19225	0
100043257	4
100043261	0
20028	0
75584	0
226499	668
108989	1308
96875	1062
545370	94
402734	888
73176	0
117198	1988
66875	242
98685	530
19821	402
100503012	0
63913	104
66967	818
69399	115
66637	113
269132	27
19731	466
100861876	1
71281	0
67771	1314
100503084	0
17970	95
226517	656
226518	4
16782	15
226519	421
626058	5
71836	0
13211	1523
74091	40
67792	2
329271	0
19734	1183
24014	94
240816	4
240817	2
433365	4
240819	0
14645	11125
100861882	0
207678	0
78112	0
12290	4
15939	141
15064	205
58244	206
207792	15
100503411	0
19775	829
433367	10
72482	485
16872	0
100861926	0
104009	5765
74081	644
208263	799
240832	2400
329274	0
214575	0
170484	2
77352	0
20652	123
11352	221
30935	167
100503836	0
215015	522
78255	522
72713	2
73435	0
226525	204
69953	122
226527	153
89867	2175
100504090	0
240843	0
11899	0
735253	0
23850	0
72025	0
26374	741
100217414	4
21960	0
67647	41
75255	2
329278	0
64659	778
12301	721
29809	630
100316784	0
620246	2
