Geneid	HISAT2 on Control1 (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	37
27395	921
18777	1819
100503730	8
21399	595
58175	0
108664	595
18387	0
226304	0
12421	631
620393	0
240690	0
319263	1860
71096	0
59014	318
76187	1221
72481	3
76982	5
17864	8
70675	413
73331	22
170755	304
620986	2
240697	31
73824	92
266793	3
100038398	314
100039596	93
69312	10
26754	876
211660	271
211673	1352
329093	0
109294	170
320492	0
329096	0
240725	79
240726	0
383491	4
17978	877
72265	2068
212442	3218
381246	172
433273	0
14048	2
17681	10
277328	0
98741	0
21749	118
226866	4
665434	0
75799	0
19989	3275
98711	424
29819	107
66799	289
67923	442
329101	0
70397	608
17087	51
57339	6
14545	0
94227	23
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	126
75028	0
387202	0
723817	0
16171	0
257630	0
17215	80
77741	0
74229	7
71877	14
170829	77
75712	75
14859	21011
241041	0
368204	0
433278	0
98582	0
226922	7
116837	0
66755	0
387225	0
723964	0
70155	235
100503399	0
280645	15
98366	207
68002	277
68187	278
12839	0
12823	2
68421	982
210933	0
100504323	0
210940	0
433281	305
665903	10
210962	0
623924	0
791350	0
213109	712
19243	534
70988	0
266744	3
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	52
67503	0
19335	143
213539	16
98403	171
433287	0
320705	2
13518	837
100628580	0
69668	194
27993	371
52318	106
19253	25
21755	0
12627	0
21756	0
211383	0
241051	0
226970	4
214469	1074
226971	441
50785	2213
320011	1269
214854	132
214855	20
226976	850
214895	238
94220	104
94218	392
78321	49
109346	65
20353	73
381337	1
12859	2052
226977	905
71166	0
22637	285
56030	494
70853	6
12790	0
269180	389
76178	1445
67387	463
269181	9
77633	0
100861893	0
72097	12
100503734	0
211484	21
623661	104
69028	130
107734	519
332427	0
69541	0
98258	502
226982	996
56210	139
16764	16
381338	0
98388	0
100503760	0
433292	0
68833	239
18143	111
114641	1701
54610	179
52846	276
100217461	3
67702	1584
263764	0
619289	2
100042065	0
73426	0
26921	441
100047133	0
16178	0
16177	469
107527	6
17082	0
16182	49
16174	1
110895	0
226999	0
211798	63
381339	0
74897	0
66297	0
18993	0
73100	0
69527	270
93690	0
73122	670
98404	212
14200	0
666642	97
17974	79
100861934	0
78896	0
67883	110
100503192	0
22019	590
433294	1
75623	83
72050	122
246229	250
22592	209
100861960	0
403183	0
70676	14
75066	0
12825	1466
12832	108
73674	182
433297	2
53945	3160
100042453	0
212225	0
227058	11
100101919	0
227059	82
442837	0
56363	0
442821	0
20324	317
109019	202
100045066	2
17912	3164
20849	6
100042634	2
20846	898
14660	96
17936	947
227094	19
98682	229
16329	151
227095	870
67080	0
17700	0
69397	0
227099	79
227102	442
72085	256
70396	659
627872	0
98267	119
329152	74
78016	0
98488	176
241062	276
329154	131
81898	1614
67876	175
15510	5071
15528	1477
19070	395
74013	27
212679	21
75388	0
227120	15
626009	0
329159	0
71066	0
212712	5
329160	2
407809	0
75323	0
73467	360
68736	110
68115	294
67198	130
51960	119
68549	6
11761	1962
71724	2669
71872	0
213043	2
66882	1848
12747	1062
70225	152
65102	182
18393	94
100504455	0
213056	434
66495	683
100504501	19
108812	2
12633	1158
12370	402
70827	428
227154	631
73463	0
381259	65
227157	38
74018	2076
271697	0
14369	538
381260	0
22218	377
55989	226
100217459	0
100217421	0
12168	108
100504533	46
72750	155
70375	4
57750	148
241066	56
100504573	1
269198	203
77951	175
329165	77
77300	1137
100043027	1
100042533	0
12487	4
100504618	0
12477	2
54167	17
77341	0
72823	20
18187	217
74992	1
227195	338
100380944	15
100504668	7
227197	1673
55949	1714
100217464	0
241070	0
73884	0
23792	265
241073	0
76668	0
75619	243
74426	0
433315	0
93691	15
12912	346
67099	135
69941	0
227210	67
14367	156
241075	36
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	2
15926	7004
18711	335
213527	0
12969	0
17756	20
100038569	0
329178	0
66646	415
68691	158
11363	2725
100862127	2
17901	0
14768	302
227231	49581
13869	15
100502712	0
22779	4
66722	0
320460	0
12021	2
74591	0
108147	413
14268	27119
100042814	0
667931	416
71134	4
433319	0
381269	916
111175	3366
271711	18
22596	352
381270	0
54380	294
319695	0
19981	510
16008	3561
16011	476
21958	0
69449	0
723792	0
78718	0
109198	11
21961	1361
435626	8
100862357	0
12765	0
227288	4
100316687	0
76709	1553
227289	0
227290	2107
56695	1712
69660	791
241112	4
18173	123
227292	2286
387219	1
22349	0
319651	131
58184	298
18802	4
77264	83
66821	259
57751	182
269209	30
67534	127
104086	5821
241113	2
22420	0
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	11
75570	17
22626	10
69171	861
227298	2949
68818	368
74104	1238
245860	1205
52231	232
74577	48
20872	1063
22145	2415
381272	3
56812	1212
