Geneid	Mouse_Uninf_1_SRR17015118
74403	77
14472	0
208372	0
74918	0
12778	10
108679	424
433332	0
12835	11
171531	9
623503	0
19329	0
16978	7531
329207	2
51801	45
67921	868
665783	21
50880	127
227357	2
100503326	0
70788	3
227358	58
67444	436
67086	0
55927	69
18627	863
74019	53
65247	221
13345	0
208727	1181
67273	294
259040	0
258228	0
259041	0
259039	0
258274	0
258483	0
258484	0
257890	0
66915	295
260301	2
14733	389
100504295	1
387167	1
241158	0
67446	14
108657	290
100037260	10
23830	27
64095	4565
208760	0
16560	256
11611	0
71874	0
381284	2
208777	47
69821	115
269224	6
66385	287
404545	8
110611	6633
18000	2679
227377	45
59041	375
51800	2
67026	240
66615	484
21915	72
66262	338
98314	44
381334	0
100041596	0
666009	0
619597	2
241159	0
18566	40
74689	0
67698	170
20452	1469
75381	0
100504401	30
73454	0
75159	0
227394	213
329217	72
67854	0
74441	0
634331	0
634346	0
52392	815
227399	646
252876	47
18484	257
78603	28
69030	15
70866	0
100504494	0
241175	0
100504525	0
23836	0
320311	16
100504568	0
27392	724
227446	1031
100042023	0
21934	1047
635504	38
227449	1817
626049	0
98432	266
12043	273
320761	3
70750	136
20479	3366
20724	0
71869	0
241196	0
20248	0
394252	0
383548	0
381286	0
66957	0
116872	2
18788	908
241197	331
20725	570
241201	0
227485	0
319901	24
636808	1
634762	0
22099	584
67949	642
76707	1329
68204	105
81879	0
14633	0
16324	4
100502628	0
64143	1214
226351	618
226352	8
19258	224
66343	33
226356	0
319229	0
170706	18
13167	430
73103	12
68428	65
226359	0
17167	87
13798	0
98452	0
72999	241
70829	598
15564	0
66942	216
100502702	0
269109	0
74117	9135
74150	334
71111	0
72585	0
210356	0
107895	316
667090	12
72160	10
266645	10
100502745	0
72949	1053
22625	7
226407	707
226409	15
226412	513
387147	3
67812	2865
226413	6
17219	215
226414	803
12767	5317
210417	0
100042740	0
13137	0
13136	298
22789	0
12269	0
12270	0
18640	230
226418	227
212439	3
64435	2
100502856	0
18703	5
69169	36
93672	0
58181	0
329244	3
16153	109
17164	15151
226419	62
16865	196
54354	2398
56489	5429
14270	1997
108900	87
26361	0
13034	242
226421	884
320718	5
212933	0
98396	313
226422	282
98415	1602
212980	7
13714	1575
213006	355
18557	24
723818	0
213409	0
213417	0
74137	699
68875	171
213452	929
213464	491
74626	38
21367	6
269116	0
100038653	0
16980	8
17248	1334
240752	210
108954	5214
240753	11
100502933	0
68338	0
280287	0
19701	0
214253	8
20668	17
20643	256
70579	3262
667118	2882
240754	56
381290	404
269120	0
116847	2
100502984	0
14264	4
100502999	4
12227	5137
667414	0
71884	2
12654	9930
53311	23
11539	1
17928	0
68507	53
57439	634
240755	5
72017	195
72674	2793
100861791	0
240756	170
98710	299
100503055	0
71001	0
75605	2363
20980	0
329251	78
67196	1
329252	0
13924	26
100038590	0
320139	1394
68724	1705
171469	2
13710	0
215615	943
21854	331
93689	0
77552	0
226432	624
215690	318
13007	209
27280	6
21952	0
16763	53
21956	2
18772	0
226438	0
66241	9
12292	14
329253	0
16565	1306
76422	4
67313	2
100042513	0
383563	0
67886	619
320054	7
67997	46
381293	11
71084	0
226442	2565
100503460	157
100503474	1
667686	0
26424	12
320138	21
735252	0
723890	0
19264	31298
338375	4
59125	835
545363	0
16876	0
69549	21
75546	0
329260	4591
170788	0
71209	0
226470	761
12316	30
14060	0
50702	0
624286	0
214403	1
545366	0
12628	997
240776	0
75910	0
226472	0
214498	376
26878	171
69367	106
20822	166
56207	285
19735	840
100861894	0
246709	2
50778	619
624910	0
64214	311
215378	0
100043240	0
791353	0
100503781	0
18783	1031
320019	0
19225	1890
100043257	166
100043261	0
20028	0
75584	0
226499	312
108989	4324
96875	331
545370	2
402734	0
73176	0
117198	1728
66875	623
98685	647
19821	1441
100503012	4
63913	910
66967	982
69399	98
66637	34
269132	20
19731	3780
100861876	1
71281	2
67771	5675
100503084	0
17970	3916
226517	1902
226518	4
16782	0
226519	273
626058	55
71836	15
13211	2895
74091	23
67792	0
329271	0
19734	17
24014	3006
240816	2
240817	0
433365	0
240819	0
14645	1287
100861882	0
207678	0
78112	0
12290	61
15939	6318
15064	8
58244	828
207792	2
100503411	0
19775	1129
433367	0
72482	98
16872	0
100861926	1
104009	959
74081	4291
208263	2852
240832	2418
329274	0
214575	2
170484	4
77352	31
20652	5614
11352	1538
30935	1289
100503836	0
215015	764
78255	149
72713	23
73435	0
226525	48
69953	6
226527	9
89867	21
100504090	0
240843	2
11899	0
735253	0
23850	0
72025	0
26374	852
100217414	38
21960	1
67647	2553
75255	55
329278	2
64659	148
12301	592
29809	882
100316784	4
620246	34
620750	0
381305	3938
11905	20
240869	332
14455	1847
100628588	0
100217446	128
226539	96
70454	145
226541	245
73844	2
100502590	0
11758	1677
22164	3
240873	2
14103	95
226551	4179
75368	0
67292	204
103967	15
72753	0
474332	0
723821	0
387210	0
71449	99
53330	851
17926	0
100038657	0
226562	4664
226564	0
14261	0
55990	1
226565	0
14262	0
78258	0
18933	2
98376	79
240879	0
16579	36
240880	626
381306	20
69962	16
20339	73
20343	14028
20344	415
100503816	26
14067	9124
116914	78
74895	35
66352	242
171567	24
11931	46
56429	2
433374	0
16963	63
69476	1
75857	0
83993	4
108735	4262
226591	347
240888	2
74106	422
70456	146
271639	4
68481	2
100503268	0
226594	2066
100503283	94
433375	1802
12503	58
18986	519
240892	0
59290	0
98558	0
100039795	0
100503318	24
27878	195
71592	604
226601	0
226604	0
240894	0
100503962	6
226610	32
80914	965
68944	247
100862084	1
56752	468
66447	14
240899	0
100503977	0
20183	0
110648	0
18514	593
66977	13
19737	0
100862094	0
19736	0
78465	0
15490	306
67303	1
18214	9
107652	885
16589	557
545378	1
622708	6
26904	33
665574	18
76925	6
70729	8
320078	57
226641	2962
80915	86
435653	71
98752	64
14130	7582
246256	944
14131	8882
75472	0
66052	463
17528	0
66425	6
12355	2
641376	81
11807	28
14127	5979
226646	588
240913	0
57370	612
19044	243
30941	128
66155	186
100862110	0
100504072	62
21945	484
27045	134
18637	124
68874	30
71740	101
226652	7521
22278	373
226654	44
16456	40
56009	57
16429	0
18106	1556
17085	668
75345	952
12506	788
100041098	39
27218	75
12523	8657
100038548	993
100862186	1
30925	92
93840	5
18071	0
59287	1347
12847	4659
100504176	0
19298	287
98193	800
18611	409
12372	2
27222	0
98660	0
140559	57
16524	0
16513	6
67556	1406
100862199	2
98365	57
93842	54
21346	2480
71870	21
71319	15
240916	4
74748	490
677296	8
68440	24
100040320	0
12944	0
20219	0
18313	0
258759	0
258758	0
258880	0
258881	0
14125	69
258645	0
100504232	0
13349	0
94332	9
383619	667
240921	277
545384	55
623121	203
236312	2592
100033459	11
100504251	0
226691	4346
15951	5781
100504287	14
666028	0
100040462	838
381308	853
15950	1857
26388	0
226695	1705
258712	4
258711	0
258713	0
258717	0
259162	0
404222	0
258716	0
258715	0
258302	0
20739	0
258710	0
66289	0
258238	0
258709	0
258756	0
546747	0
54418	0
23893	2
24012	0
14194	219
98256	148
13603	19
12663	237
75820	0
26909	3
319455	0
545389	2313
723921	9
76816	347
15365	79
23797	577
30928	635
75589	0
69428	11
11566	1523
631584	0
545391	0
78825	572
791357	9
75164	0
666295	50
320110	1
66359	264
51810	7707
68226	19
269152	4
69726	31
15278	39
226744	140
109232	47
226747	2881
100503705	0
226751	51
67426	28
19165	365
277333	6
320404	2017
381310	6
11545	440
72568	38
27217	0
170760	1540
100504581	5
15078	408
208768	2056
100504598	5
320202	0
100862334	0
69051	88
13590	6
208795	410
13849	55
619326	0
67459	566
98417	407
226757	11625
329307	58
72978	5
403180	0
240960	29
98386	3590
433384	6
13800	476
27058	332
625823	0
13244	1354
67330	35
67948	651
209456	494
12334	2623
170725	0
433386	0
96935	0
53791	137
68897	104
71678	955
108909	367
338366	2095
21339	166
78772	0
73363	5
63953	99
73590	6
74971	0
15284	313
66112	1
67247	196
100316821	0
226777	0
226778	3
98732	1450
100217449	5
381314	321
387189	2
387211	1
23827	120
107508	2008
319562	0
100039138	0
226781	0
114668	0
226791	0
21808	45
67223	245
110957	0
74717	0
69308	0
67769	166
100862400	34
26381	0
320272	0
22283	0
226823	170
16526	0
100042424	54
100039307	0
108000	29
19250	12
226830	76
19130	0
100504619	0
320119	383
52477	815
226841	20
226844	1129
100125339	5
75558	1
68972	44
381318	25
381319	148
619288	0
11910	4021
100504360	82
100861628	0
66208	0
66950	163
226849	1942
100504379	101
76843	13
77065	207
226856	1248
18005	16
98736	4
22782	1507
74023	2
22033	70
100628582	0
100042625	7
214742	74
100038712	6
16510	4
226861	10
320952	0
73455	0
214791	2
100503471	0
329324	1
215193	208
54139	16
319266	59
215243	451
15483	571
14373	1
100503531	0
16780	101
215303	3
387201	0
74942	0
18845	2
100628615	0
12490	65
320400	74
320977	1038
723963	0
387224	0
17221	25
12946	740
12902	51
215728	0
619314	0
670558	0
76142	2
70337	0
213783	940
270685	491
83397	18
381990	422
66084	115
73419	217
100504234	0
13982	43
64009	11387
68632	0
22353	0
67141	5
108853	61
56533	4
100041224	0
18390	54
320495	1768
215748	13
77777	36
237253	28
18537	477
320642	14
69912	83
407824	36
16798	1757
23924	777
215751	352
100503695	4
67418	902
237256	278
100628581	1
68652	3047
338362	31
70097	489
791352	0
320825	0
620417	0
78808	2207
215772	106
67844	2822
382450	0
14816	4
78056	0
268281	532
71865	1791
13853	5
22288	1617
320273	18
74732	3484
66125	154
22634	36
100862331	0
75122	0
353258	471
215789	1430
66848	3029
56535	90
66757	7
66253	24
15273	1997
100504211	248
215798	356
100039571	3
66201	412
69412	0
76743	0
18101	0
100504235	29
17684	456
378431	49
380629	1433
73112	675
19707	409
100045792	0
215814	28
215819	0
56016	2
215821	10
237300	0
73968	1
64058	83
21929	9313
100504265	5
94222	0
15979	5418
237310	10
237313	2
76157	8
18634	138
26408	1154
17761	33
73811	0
621697	8
72567	2273
71804	11
29863	902
52906	649
100038717	30
100504283	25
17863	71
56422	365
73990	18
237320	0
76924	0
67692	2
432436	0
20393	730
114671	4
319887	50
379043	10
667281	122
606736	653
56554	9
100038752	0
353169	27
237336	568
100504411	0
100038582	0
21412	0
14051	2
20042	823
100529074	30
100529075	43
76306	1
26464	95
22361	2
111174	0
209512	0
493809	0
209513	0
215854	0
215855	0
215856	0
209517	0
435206	0
276742	0
435207	0
215859	0
382348	0
494546	0
503558	0
53331	2143
100862153	0
59012	0
14219	0
18605	228
209558	2
70208	1162
11846	10276
432442	287
13822	2420
100504474	2
73803	0
215866	0
77220	0
100040851	0
268288	38
237339	270
667572	0
73910	614
16773	0
100040961	0
19272	6
210757	9
100504516	0
114676	14
67719	0
67412	0
212448	0
52665	22
68031	485
72780	0
100504540	0
66311	0
73681	195
100504586	60
66847	53
211329	337
15214	0
69692	19
21987	0
100041294	12
268291	87
432450	0
76757	0
442820	0
100862254	0
215890	0
215895	0
57430	0
212892	10
72580	514
414093	73
66521	225
692132	0
270711	0
103511	2
215900	39
212898	2404
22110	1280
72480	78
319638	272
12813	62
14302	0
100041585	0
319415	0
15182	540
17118	21663
215919	0
16775	0
66337	0
71924	9
327743	0
14360	830
100504626	29
103213	89
327744	27
19714	1016
100504659	14
213332	0
75299	2
72045	0
100041085	5
215928	12
215929	0
72472	803
67239	390
67371	194
19850	777
11702	164
78334	435
70840	0
70503	0
327747	0
71713	784
83767	2
100504721	10
140741	0
103199	354
633979	0
268294	411
171580	1805
20598	121
73075	5
53599	6290
75973	26
70538	7
629461	0
100628609	0
103268	14
140742	227
213402	4
624784	6
56484	744
215951	56
666540	2
54198	1506
21907	0
14628	747
140740	1337
268297	27
109205	0
74530	0
71365	40
331623	133
67851	46
100862325	0
12484	12307
414125	19
69443	35
76563	99
170728	171
11630	1649
70365	0
11793	398
100316688	0
12142	580
19072	648
78977	0
23828	0
380669	0
209462	167
320363	0
100418235	0
14806	4
100504076	0
77987	4118
20464	0
14727	17922
14728	21563
77296	0
210198	0
320995	0
71090	0
215031	0
19886	0
66686	10
94221	363
66650	0
52014	1297
629689	0
