Geneid	Mouse_Uninf_2_SRR17015119
497097	0
100503874	0
100038431	0
19888	672
20671	0
27395	1285
18777	2058
100503730	12
21399	1290
58175	4
108664	2281
18387	0
226304	0
12421	4093
620393	0
240690	1
319263	3419
71096	4
59014	1014
76187	57
72481	70
76982	53
17864	65
70675	4374
73331	0
170755	4680
620986	72
240697	39
73824	368
266793	45
100038398	1
100039596	1
69312	6
26754	1700
211660	893
211673	9238
329093	0
109294	9
320492	0
329096	0
240725	12
240726	48
383491	0
17978	4575
72265	8549
212442	1128
381246	0
433273	3
14048	91
17681	0
277328	0
98741	0
21749	621
226866	32
665434	0
75799	0
19989	9603
98711	314
29819	410
66799	1341
67923	1044
329101	0
70397	844
17087	483
57339	10
14545	0
94227	0
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	0
257630	0
17215	1828
77741	0
74229	104
71877	11
170829	472
75712	19
14859	12
241041	72
368204	13
433278	0
98582	1
226922	272
116837	0
66755	0
387225	4
723964	0
70155	1808
100503399	4
280645	174
98366	692
68002	213
68187	613
12839	0
12823	0
68421	5083
210933	0
100504323	0
210940	0
433281	0
665903	29
210962	0
623924	0
791350	2
213109	6125
19243	379
70988	2
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	398
67503	4
19335	217
213539	31
98403	1057
433287	19
320705	81
13518	379
100628580	16
69668	1143
27993	1745
52318	624
19253	1924
21755	5
12627	0
21756	0
211383	0
241051	0
226970	185
214469	9103
226971	4759
50785	2430
320011	10296
214854	4323
214855	2653
226976	1913
214895	630
94220	941
94218	762
78321	161
109346	263
20353	167
381337	0
12859	860
226977	1629
71166	1
22637	218
56030	5856
70853	13
12790	2
269180	3806
76178	5084
67387	1225
269181	4180
77633	380
100861893	0
72097	10
100503734	0
211484	606
623661	115
69028	622
107734	1074
332427	0
69541	0
98258	2114
226982	6627
56210	941
16764	2277
381338	2
98388	191
100503760	36
433292	0
68833	730
18143	5
114641	4739
54610	1391
52846	1127
100217461	74
67702	2299
263764	8
619289	0
100042065	0
73426	0
26921	5960
100047133	130
16178	773
16177	33
107527	37
17082	4510
16182	898
16174	1240
110895	56
226999	4
211798	203
381339	0
74897	0
66297	0
18993	0
73100	0
69527	766
93690	0
73122	1874
98404	662
14200	21
666642	2
17974	437
100861934	93
78896	14
67883	860
100503192	19
22019	6375
433294	57
75623	348
72050	565
246229	362
22592	578
100861960	0
403183	0
70676	2
75066	0
12825	46
12832	17
73674	1914
433297	22
53945	1528
100042453	0
212225	0
227058	1
100101919	4
227059	2999
442837	0
56363	0
442821	0
20324	8
109019	3569
100045066	52
17912	332
20849	1402
100042634	9
20846	6112
14660	7626
17936	3079
227094	921
98682	3768
16329	382
227095	589
67080	4
17700	0
69397	0
227099	447
227102	635
72085	258
70396	2665
627872	0
98267	10459
329152	93
78016	3
98488	1049
241062	2398
329154	10564
81898	21281
67876	561
15510	4413
15528	926
19070	1671
74013	93
212679	507
75388	11
227120	201
626009	24
329159	0
71066	0
212712	46
329160	13
407809	0
75323	4
73467	326
68736	222
68115	175
67198	11
51960	639
68549	192
11761	4
71724	2
71872	0
213043	2
66882	7326
12747	8147
70225	719
65102	599
18393	1375
100504455	49
213056	1562
66495	457
100504501	158
108812	15
12633	4615
12370	3851
70827	4708
227154	431
73463	0
381259	201
227157	18
74018	2077
271697	3
14369	929
381260	55
22218	820
55989	3662
100217459	8
100217421	6
12168	1723
100504533	96
72750	3743
70375	222
57750	1279
241066	312
100504573	8
269198	3690
77951	1398
329165	1375
77300	1839
100043027	12
100042533	0
12487	443
100504618	8
12477	283
54167	229
77341	2
72823	837
18187	1763
74992	26
227195	6544
100380944	187
100504668	153
227197	2465
55949	9556
100217464	47
241070	10
73884	0
23792	342
241073	0
76668	0
75619	884
74426	18
433315	0
93691	874
12912	4653
67099	295
69941	3
227210	384
14367	325
241075	7289
70861	0
667276	1
12968	0
12967	0
12966	0
12965	0
12964	0
98303	10
15926	12907
18711	6062
213527	0
12969	0
17756	1
100038569	0
329178	0
66646	1671
68691	1123
11363	1467
100862127	3
17901	0
14768	828
227231	0
13869	0
100502712	0
22779	802
66722	0
320460	0
12021	267
74591	0
108147	4934
14268	1240943
100042814	5
667931	23
71134	129
433319	4
381269	222
111175	145
271711	0
22596	557
381270	0
54380	1241
319695	0
19981	3402
16008	0
16011	64
21958	0
69449	0
723792	0
78718	0
109198	0
21961	2017
435626	130
100862357	5
12765	3826
227288	41
100316687	0
76709	15125
227289	2
227290	3107
56695	128
69660	2722
241112	10
18173	9440
227292	3442
387219	12
22349	18
319651	1947
58184	1727
18802	15
77264	898
66821	408
57751	808
269209	22
67534	1019
104086	503
241113	11
22420	22
22409	0
12570	0
260298	0
12958	2
723900	0
241116	4
16147	2
