Geneid	Mouse_Uninf_3_SRR17015120
100040766	41
381280	328
78605	0
171382	0
75396	2
14659	31
100503197	0
320982	2210
78650	0
73475	2
98402	160
77331	0
347722	1350
74403	127
14472	4
208372	0
74918	0
12778	1576
108679	1539
433332	0
12835	24
171531	148
623503	0
19329	0
16978	6981
329207	27
51801	71
67921	1134
665783	43
50880	987
227357	4
100503326	0
70788	8
227358	133
67444	1136
67086	1
55927	384
18627	369
74019	375
65247	865
13345	10
208727	1219
67273	1246
259040	0
258228	0
259041	0
259039	0
258274	0
258483	0
258484	0
257890	0
66915	950
260301	2
14733	235
100504295	1
387167	0
241158	5
67446	143
108657	1109
100037260	27
23830	224
64095	3798
208760	3
16560	37
11611	0
71874	0
381284	0
208777	84
69821	372
269224	64
66385	1454
404545	13
110611	18866
18000	8562
227377	303
59041	1672
51800	6
67026	548
66615	1193
21915	561
66262	1403
98314	440
381334	0
100041596	0
666009	0
619597	1
241159	0
18566	69
74689	0
67698	762
20452	7453
75381	0
100504401	85
73454	0
75159	0
227394	129
329217	80
67854	0
74441	0
634331	0
634346	18
52392	2114
227399	3486
252876	258
18484	1681
78603	47
69030	22
70866	0
100504494	2
241175	0
100504525	0
23836	0
320311	114
100504568	2
27392	3147
227446	3272
100042023	1
21934	1411
635504	41
227449	2905
626049	9
98432	925
12043	2747
320761	27
70750	1225
20479	4781
20724	0
71869	2
241196	0
20248	0
394252	0
383548	0
381286	0
66957	0
116872	33
18788	52455
241197	2633
20725	2481
241201	0
227485	0
319901	383
636808	0
634762	0
22099	2676
67949	1898
76707	4251
68204	131
81879	7
14633	0
16324	4
100502628	0
64143	2757
226351	1269
226352	34
19258	1388
66343	230
226356	0
319229	2
170706	1037
13167	1771
73103	80
68428	2027
226359	12
17167	7520
13798	0
98452	0
72999	642
70829	2280
15564	2
66942	812
100502702	0
269109	4
74117	17294
74150	1163
71111	0
72585	0
210356	4
107895	1603
667090	68
72160	334
266645	18
100502745	2
72949	2788
22625	140
226407	3180
226409	260
226412	2101
387147	1
67812	4513
226413	9
17219	1635
226414	3609
12767	2318
210417	6
100042740	2
13137	7
13136	2813
22789	0
12269	0
12270	0
18640	1503
226418	617
212439	19
64435	49
100502856	60
18703	60
69169	1338
93672	24
58181	0
329244	2
16153	8
17164	7830
226419	115
16865	805
54354	4665
56489	2948
14270	4835
108900	77
26361	0
13034	660
226421	2732
320718	0
212933	12
98396	1196
226422	1157
98415	11293
212980	396
13714	5643
213006	1367
18557	237
723818	0
213409	0
213417	2
74137	2024
68875	707
213452	2415
213464	1895
74626	267
21367	18
269116	1
100038653	0
16980	11
17248	4184
240752	3580
108954	10787
240753	710
100502933	27
68338	0
280287	0
19701	0
214253	4
20668	117
20643	852
70579	6064
667118	6214
240754	903
381290	616
269120	0
116847	0
100502984	0
14264	3
100502999	22
12227	6343
667414	1
71884	27
12654	349
53311	6
11539	0
17928	3
68507	642
57439	1728
240755	56
