Geneid	PCA2-infected_7h_SRR15896667
497097	0
100503874	0
100038431	0
19888	0
20671	1
27395	7917
18777	305
100503730	21
21399	3227
58175	0
108664	1114
18387	0
226304	1
12421	2110
240690	0
100504079	67
319263	524
71096	0
59014	4978
76187	17
72481	4
76982	0
17864	40
70675	1284
170755	1371
620986	14
240697	8
73824	3740
266793	4
100038398	0
69312	1
26754	4232
211660	1087
211673	2198
329093	13
109294	3
320492	1
240725	0
240726	3
383491	0
17978	611
72265	5135
212442	905
381246	0
433273	1
14048	77
17681	0
277328	1
98741	0
21749	1343
226866	6
665434	5
75799	3
19989	77150
98711	218
100503633	52
29819	98
66799	1353
67923	9943
329101	0
70397	3038
17087	151
57339	6
14545	4
94227	1
83691	31
100503673	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	1
21419	0
100503916	0
100503972	0
241035	0
387202	0
723817	0
16171	0
257630	2
17215	8748
74229	90
71877	13
170829	18
75712	172
14859	5
241041	1
368204	0
433278	0
98582	0
226922	126
116837	0
665725	0
66755	0
387225	0
723964	0
70155	3445
100503399	0
280645	106
98366	3152
68002	2599
68187	7
12839	0
12823	4
100503984	43028
100503946	19222
68421	680
210933	0
100504323	0
210940	0
100503081	0
433281	0
210962	0
623924	0
100502623	0
791350	5
213109	3050
19243	491
70988	0
266744	0
74708	0
226957	0
624262	0
100503415	8
170771	0
408192	0
408191	0
19076	1221
67503	70
19335	112
213539	2463
98403	386
433287	7
320705	0
13518	105
69668	3005
27993	3664
52318	327
19253	9122
21755	0
12627	1
21756	0
211383	0
241051	0
241052	0
226970	31
214469	1321
226971	420
50785	663
320011	1454
214854	108
214855	350
226976	576
214895	401
94220	534
94218	520
78321	33
109346	560
20353	10
381337	19
623414	1
12859	20887
226977	620
71166	1
22637	0
56030	1004
70853	0
12790	0
269180	390
76178	1559
67387	2600
269181	549
77633	66
72097	2
100503734	0
211484	57
623661	300
69028	1532
107734	11631
332427	0
69541	0
98258	4059
226982	12026
56210	548
16764	729
381338	6
98388	97
100503760	43
433292	0
68833	2473
18143	1
114641	48653
54610	212
100503777	21
52846	1335
100217461	0
67702	1830
263764	0
619289	4
100042065	0
26921	590
100047133	15
16178	3
16177	139
107527	13
17082	1039
16182	24
16174	31
110895	0
226999	1
211798	38
381339	0
791306	0
66297	0
18993	0
73100	0
69527	2988
93690	0
73122	319
98404	310
14200	13
666642	1
17974	170
100503894	10
78896	1
67883	124
22019	2606
433294	11
75623	3877
72050	730
246229	167
22592	445
403183	1
70676	17
12825	0
12832	3
73674	3266
433297	124
53945	979
100042453	0
212225	0
227058	0
100101919	1
227059	720
100503087	0
19842	0
442837	0
56363	0
20324	882
109019	129
100045066	5
17912	39
20849	223
100042634	11
20846	1337
14660	2087
17936	854
227094	116
98682	166
16329	236
227095	2039
67080	2
17700	1
69397	0
227099	326
227102	1147
72085	503
70396	3179
100503234	0
627872	1
98267	867
329152	7
78016	8
98488	316
100504348	2
241062	1
329154	416
81898	12739
67876	624
15510	33102
15528	54544
19070	1953
74013	20
212679	520
75388	3
227120	6
100504386	0
626009	0
329159	0
71066	0
212712	11
329160	4
407809	0
75323	68
73467	262
68736	575
68115	1668
67198	3
51960	307
68549	1816
11761	0
71724	2
71872	8
213043	1
66882	7258
12747	2400
70225	3495
65102	1008
18393	3281
100504455	34
213056	838
66495	9274
100504483	4
100504501	139
108812	0
12633	877
12370	2033
70827	734
227154	552
73463	0
381259	528
227157	14
74018	87
271697	0
14369	292
381260	24
22218	6452
55989	17317
100217459	0
100217421	0
12168	81
100504533	81
72750	836
70375	72
57750	6571
241066	41
269198	482
77951	205
329165	343
77300	23
100504603	23
100043027	1
100042533	1
12487	21
100504618	0
12477	1
54167	11
72823	142
18187	36
227195	1578
100380944	196
100504668	318
227197	2966
55949	84516
100217464	16
241070	5
73884	2
23792	2
100504706	0
241073	0
76668	0
75619	1476
74426	1
433315	0
93691	159
12912	1734
67099	384
69941	1136
227210	37
14367	42
241075	131
70861	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	10
15926	1523
18711	537
213527	0
12969	0
17756	0
100038569	2
329178	1
66646	662
68691	561
11363	5397
17901	0
14768	1112
227231	0
13869	0
100502712	0
22779	989
66722	0
320460	0
12021	1912
74591	0
108147	5314
14268	14
667931	0
433319	3
381269	8
111175	767
271711	1
22596	1087
381270	0
54380	605
319695	2
19981	108283
16008	0
16011	0
21958	0
69449	0
723792	0
109198	0
21961	592
435626	29
12765	122
227288	2
76709	18414
227289	2
227290	3314
56695	394
69660	397
241112	8
18173	5
227292	741
387219	3
22349	8
319651	2182
58184	4228
18802	7
77264	312
66821	744
57751	319
269209	8
67534	149
104086	40
241113	0
22420	12
22409	0
12570	0
260298	0
12958	0
723900	0
241116	1
16147	3
75570	271
22626	6
69171	1694
227298	2333
68818	901
