Geneid	PCA2-infected_7h_SRR15896666
497097	0
100503874	0
100038431	0
19888	0
20671	0
27395	8042
18777	315
100503730	27
21399	3335
58175	1
108664	1166
18387	0
226304	0
12421	2222
240690	1
100504079	79
319263	586
71096	0
59014	5197
76187	10
72481	4
76982	0
17864	46
70675	1325
170755	1377
620986	12
240697	14
73824	3863
266793	2
100038398	0
69312	3
26754	4527
211660	1182
211673	2363
329093	22
109294	22
320492	1
240725	0
240726	2
383491	1
17978	687
72265	5310
212442	992
381246	4
433273	8
14048	80
17681	0
277328	2
98741	0
21749	1359
226866	7
665434	3
75799	2
19989	79083
98711	233
100503633	54
29819	106
66799	1453
67923	10408
329101	0
70397	3298
17087	164
57339	7
14545	0
94227	0
83691	16
100503673	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
100503916	0
100503972	0
241035	0
387202	0
723817	0
16171	0
257630	3
17215	9111
74229	94
71877	15
170829	26
75712	186
14859	6
241041	1
368204	0
433278	0
98582	0
226922	118
116837	0
665725	0
66755	0
387225	0
723964	0
70155	3530
100503399	2
280645	125
98366	3254
68002	2711
68187	18
12839	0
12823	2
100503984	17178
100503946	9636
68421	707
210933	0
100504323	0
210940	0
100503081	0
433281	0
210962	0
623924	3
100502623	0
791350	9
213109	3157
19243	508
70988	0
266744	0
74708	0
226957	0
624262	0
100503415	1
170771	0
408192	0
408191	0
19076	1329
67503	89
19335	123
213539	2798
98403	404
433287	3
320705	0
13518	116
69668	3058
27993	4068
52318	330
19253	9651
21755	1
12627	3
21756	0
211383	0
241051	1
241052	0
226970	29
214469	1420
226971	392
50785	692
320011	1535
214854	116
214855	346
226976	619
214895	429
94220	539
94218	552
78321	36
109346	562
20353	17
381337	20
623414	0
12859	21227
226977	589
71166	1
22637	1
56030	962
70853	1
12790	0
269180	424
76178	1670
67387	2785
269181	595
77633	72
72097	2
100503734	0
211484	64
623661	295
69028	1606
107734	11967
332427	0
69541	1
98258	4065
226982	12510
56210	572
16764	830
381338	2
98388	80
100503760	36
433292	0
68833	2518
18143	6
114641	50038
54610	229
100503777	23
52846	1445
100217461	0
67702	1874
263764	0
619289	6
100042065	0
26921	569
100047133	35
16178	3
16177	157
107527	8
17082	1133
16182	27
16174	31
110895	0
226999	3
211798	44
381339	0
791306	0
66297	0
18993	1
73100	0
69527	3068
93690	1
73122	376
98404	327
14200	23
666642	0
17974	206
100503894	15
78896	0
67883	152
22019	2644
433294	18
75623	3947
72050	771
246229	168
22592	454
403183	0
70676	21
12825	1
12832	2
73674	3401
433297	154
53945	1027
100042453	0
212225	0
227058	2
100101919	0
227059	753
100503087	1
19842	0
442837	1
56363	0
20324	987
109019	136
100045066	11
17912	20
20849	232
100042634	12
20846	1416
14660	2142
17936	965
227094	159
98682	154
16329	260
227095	2064
67080	0
17700	2
69397	0
227099	369
227102	1104
72085	495
70396	3426
100503234	0
627872	1
98267	797
329152	4
78016	9
98488	320
100504348	0
241062	2
329154	439
81898	12902
67876	641
15510	34178
15528	56910
19070	2116
74013	22
212679	552
75388	7
227120	11
100504386	0
626009	0
329159	0
71066	0
212712	10
329160	5
407809	0
75323	85
73467	272
68736	622
68115	1747
67198	1
51960	354
68549	1701
11761	0
71724	2
71872	10
213043	2
66882	7502
12747	2454
70225	3625
65102	1005
18393	3348
100504455	25
213056	838
66495	10107
100504483	13
100504501	168
108812	1
12633	897
12370	2080
70827	778
227154	594
73463	1
381259	498
227157	12
74018	91
271697	0
14369	272
381260	27
22218	7066
55989	17665
100217459	0
100217421	0
12168	82
100504533	92
72750	813
70375	61
57750	6568
241066	67
269198	509
77951	242
329165	357
77300	34
100504603	25
100043027	2
100042533	0
12487	20
100504618	2
12477	1
54167	10
72823	185
18187	48
227195	1543
100380944	210
100504668	300
227197	2908
55949	88065
100217464	25
241070	2
73884	2
23792	1
100504706	0
241073	0
76668	0
75619	1499
74426	1
433315	0
93691	149
12912	1786
67099	368
69941	1215
227210	42
14367	51
241075	131
70861	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	10
15926	1603
18711	524
213527	0
12969	0
17756	0
100038569	0
329178	2
66646	748
68691	627
11363	5566
17901	0
14768	1232
227231	0
13869	1
100502712	0
22779	995
66722	0
320460	0
12021	1838
74591	0
108147	5516
14268	14
667931	0
433319	4
381269	14
111175	803
271711	0
22596	1167
381270	0
54380	616
319695	1
19981	98456
16008	0
16011	2
21958	0
69449	0
723792	0
109198	0
21961	561
435626	25
12765	108
227288	0
76709	19106
227289	6
227290	3511
56695	365
69660	406
241112	9
18173	4
227292	790
387219	3
22349	8
319651	2238
58184	4419
18802	9
77264	334
66821	745
57751	315
269209	7
67534	156
104086	43
241113	0
22420	21
22409	0
12570	0
260298	0
12958	0
723900	0
241116	2
16147	0
75570	276
22626	5
69171	1715
227298	2516
68818	976
