baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
497097	0.469649178820511	-2.28811406306411	3.00351926616407	-0.761811015777624	0.446172804818684	NA
100503874	0.061880585025355	0.476196336473094	3.0414330302705	0.156569726090843	0.875583963309952	NA
19888	0.264768784288594	1.45741910266452	3.03955437254675	0.479484465166318	0.631594017182044	NA
20671	10.0831244704917	0.420557691357867	0.683260330859156	0.615516037392428	0.538213981471315	0.725340945343379
27395	838.090251767118	0.144486305319157	0.134376657035141	1.07523366414282	0.282270127096806	0.496802750624242
18777	1776.22972798772	0.0693496444036612	0.115644145887541	0.599681409477492	0.548718580191906	0.732759494434509
100503730	0.117802805411717	0.155600404172817	3.0414330302705	0.0511602269799043	0.959197844589735	NA
21399	1467.28031201741	-0.0290039528049704	0.0790385996520569	-0.366959345593816	0.713649343197662	0.848408761558998
58175	0.567308411980936	-2.57103242087141	2.99660058989956	-0.85798301900407	0.390901840135108	NA
108664	2278.09371033225	0.00452038571811597	0.0750705773257874	0.0602151452558922	0.951984283433083	0.977649289483986
18387	0.444376892281967	-2.19134700308214	3.0062096982344	-0.728940168202223	0.46603826244454	NA
12421	1617.42757267518	0.0178029656744113	0.128222885258301	0.138843901683758	0.889573501415121	0.949323050332959
240690	4.76295835408174	1.2073213153446	1.16722709809092	1.03434997124317	0.300972583475719	NA
100504079	13.8284803167129	0.410490133127257	0.445811576445963	0.920770466302625	0.357170277349935	0.570639270869754
319263	1612.14981278117	0.144359438439581	0.11357029148905	1.27110212139853	0.203692320745327	0.404906414779738
71096	0.18446279794257	-0.80618590989392	3.0414330302705	-0.265067782808362	0.790957245459672	NA
59014	474.429060598821	-0.190461537845903	0.158794138458123	-1.19942423376119	0.230363029246652	0.437344678652365
76187	130.599390013625	-0.735945564733407	0.27302917134984	-2.69548327416787	0.00702866064245177	0.03796137548472
72481	601.907436286079	-0.812987399514376	0.279415762696999	-2.90959748178554	0.00361894508893924	0.0229022407421628
76982	6.39310510602711	-2.70075527599368	0.842672422080466	-3.20498832669261	0.00135067958311955	0.0110340757992073
17864	37.6242660779751	-0.363119850802288	0.360005397671339	-1.0086511289861	0.313141977320947	0.529887491196575
70675	2313.04123477383	-0.245056290659988	0.104120539957598	-2.35358259532446	0.0185934766077329	0.0767568146963365
170755	4893.29763680737	-0.0125729716445691	0.0863682448554469	-0.145574008891952	0.884257687273314	0.946326224192117
620986	21.4182676570191	-0.335700782763552	0.293394613162801	-1.14419545452689	0.252542587781585	0.464171076097773
240697	0.381009135630789	0.115096509020996	3.03814704459176	0.0378837848635011	0.969780341572856	NA
73824	149.034408556844	0.930366678861777	0.203858906564145	4.56377744069296	5.02413394363531e-06	0.000117792701893489
266793	0.418292640406074	-1.01610215847339	3.02471369307674	-0.335933335045609	0.7369211386224	NA
100038398	12.241940150983	-0.274499417665739	0.791683091901807	-0.346728912709664	0.72879498693949	0.857404787593879
26754	1169.95501037406	0.136912852609468	0.11637990501134	1.17643035192482	0.239422948900392	0.449199586336222
211660	274.950682204742	0.211689808791203	0.140738662314652	1.5041340120025	0.132546864325743	0.307206977802324
211673	2975.01531409974	-0.00587409402254572	0.0763032625370696	-0.0769835237345451	0.938636652221165	0.971910199779452
109294	21.6884531312102	-0.570410221363526	0.604065601429491	-0.944285223349381	0.345023914928321	0.560410745040478
320492	0.33152618421386	-0.485852851637112	3.03951606621016	-0.15984546258474	0.873002810518768	NA
240725	19.4313858238142	0.480626503177218	0.72673532669639	0.661350130537979	0.508387799476748	0.702562615785609
240726	1.11595340555518	2.48580649756982	1.64398396093922	1.51206249977625	0.13051796360192	NA
383491	0.490722178374149	2.52015453672006	3.00579556794577	0.838431782785012	0.401788245533913	NA
17978	3359.80634023053	-0.247738467938498	0.109225676451568	-2.26813397716377	0.0233210420246489	0.0901016099419553
72265	6862.64792851628	-0.208228786677028	0.0776938567155302	-2.68011906577685	0.00735959771851763	0.0391693503378405
212442	909.968962477016	-0.158431513477072	0.101650439764833	-1.55859152054434	0.119093091259915	0.286961871104427
381246	1.50394117413063	4.1234150484182	2.15682201140328	1.91180126436831	0.0559016895563814	NA
433273	7.34601855898787	0.817475602822109	0.538306403155983	1.51860649999593	0.128861574041886	0.301655757911619
14048	3.27310940991115	2.08542595894987	1.16733805391265	1.78647989068806	0.0740215903608541	NA
17681	3.77149392391547	-0.342596277500973	1.22162808854678	-0.280442370892535	0.779138133402154	NA
277328	0.620464966032543	2.83345679180659	2.99777411600347	0.945186889392473	0.34456347161655	NA
21749	432.035625925641	-0.120651265926679	0.105731234650975	-1.14111280668344	0.253822982564309	0.465714174882234
226866	0.956095383646662	0.264393828512966	2.20740919902932	0.11977563046726	0.904660887014179	NA
665434	0.850923189832869	-0.0541781885338612	1.23895752083019	-0.043728850766052	0.965120541621619	NA
75799	0.204592950138716	1.42350913034315	3.0401176602235	0.468241459522492	0.639611926660367	NA
19989	24215.0931526672	0.419724225180095	0.155714984114971	2.69546458592703	0.00702905492531023	0.03796137548472
98711	571.069013691083	-0.653811900179721	0.201143619616006	-3.25047297760616	0.00115213217073178	0.00977726180681704
100503633	48.6358038302223	-0.962500552012219	0.365548967859544	-2.6330276833993	0.00846274492543032	0.0432416292139263
29819	296.452652773648	-0.454719781562361	0.279255807739266	-1.62832703550044	0.10345555982942	0.260579652088924
66799	1096.92858465529	-0.0520360599047469	0.0817913773709645	-0.636204714694283	0.524643000593443	0.715312115790452
67923	892.226901756014	0.214324509747086	0.11676965103207	1.83544703484832	0.0664394800507052	0.191780712849641
70397	982.030635047798	-0.122429992124563	0.0893668984618012	-1.36997024884885	0.170696188934431	0.361802284798346
17087	755.678391837244	-0.0623237759440167	0.167884808150418	-0.371229396099836	0.710466680034137	0.847001199819159
57339	1.2487030839585	-2.92916203740722	2.3091880236833	-1.26848139145249	0.204626091939005	NA
14545	0.0630963903285262	0.476196336473094	3.0414330302705	0.156569726090843	0.875583963309952	NA
94227	6.56184349857899	-1.13214023829796	1.11125819358609	-1.01879135274988	0.308302031851688	0.525287868985093
83691	6.28451036502174	-1.1875558844149	1.15937774678127	-1.02430453552508	0.30569145635463	0.522627564249261
78081	0.0730803914105645	0.476196336473094	3.0414330302705	0.156569726090843	0.875583963309952	NA
241035	0.515251926510234	-1.49309509254209	3.00788141976337	-0.496394266985282	0.619616269118451	NA
16171	0.220598986925227	-0.485591460427738	3.0414330302705	-0.159658771241973	0.87314987997348	NA
17215	2327.42376227385	-0.197981601946084	0.11873066247523	-1.66748502719243	0.0954179992214911	0.246610155792384
