baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
653635	10.3713694221933	1.00923884269154	0.597534620737232	1.68900480016765	0.0912185100681636	0.21114614205741
102466751	4.62579875369912	0.418615768877644	0.924788792712501	0.452660945046491	0.650792906250778	0.809266266819635
729737	9.2475704338836	1.12884042859626	0.634853897888	1.77811057371093	0.0753856961711085	0.181504564659314
102725121	0.663044577132438	-0.836072457567568	2.25502256213074	-0.370760129680287	0.710816200021435	NA
102723897	15.3180215168014	-0.199434071410619	0.481841614351074	-0.413899641439666	0.678947606494277	0.827719004092872
100132287	2.18344076009606	0.130866235511436	1.30598218371318	0.100205222661887	0.920181399802021	NA
105378947	0.184988296285245	-0.997833948817204	4.03642125235792	-0.247207584747084	0.804747575665202	NA
101928626	0.853165190461977	-0.16528122988254	1.99856214157709	-0.082700070437697	0.934090028864752	NA
102465432	28.0456261731699	-0.437480485872901	0.352038535312236	-1.24270624374938	0.213976102269434	0.398206860496315
100133331	52.9193495444585	0.116736699857482	0.270178644933088	0.432072267911451	0.665688889637706	0.818477342215069
100288069	2.38149820417814	0.545378094866366	1.26958213970774	0.429572910494718	0.667506346234148	NA
400728	6.13078666080421	-0.232774345961897	0.739923829005624	-0.314592309149876	0.753071219302304	0.872190587216729
79854	6.30180685643238	0.625594918665761	0.744532298649933	0.840252222502848	0.400766983466985	0.607700293112093
643837	348.318459540883	0.0600687809668548	0.103220905358284	0.581943945931822	0.560604438207466	0.744294789132586
284593	0.0462470740713112	-0.0293737504067519	4.05439796297891	-0.00724491050828418	0.994219448330053	NA
100130417	6.78820730878055	-1.26898605279252	0.805849918242813	-1.5747176044388	0.11532164245598	0.253022433085875
148398	11.0935813331116	-0.526852161515172	0.580671512685225	-0.907315323734113	0.364240073026018	0.57049418485664
26155	2182.86605240398	0.119400676911662	0.0527693392475796	2.26269039207532	0.0236547815126173	0.0703435960646642
339451	201.450240172478	0.0936796340675673	0.150920996286749	0.620719690251558	0.534784071699406	0.724590404245927
84069	18.3013377458345	0.293761312611832	0.431432205384131	0.680897969474203	0.495936053007856	0.691997035675742
84808	4.34448377623369	-0.231525423099295	0.915803967804724	-0.252811115957802	0.800414177388811	0.899821920737365
57801	28.9386865046104	2.14073955579952	0.367318923065164	5.82801326415668	5.60911214229366e-09	5.36515913352767e-08
9636	2293.87132171953	3.43458600214512	0.0732327219180109	46.8996087021096	0	0
375790	6187.53244958261	0.479720553605146	0.0508514950066318	9.43375516378788	3.95664346546883e-21	7.92663593048377e-20
105369174	162.525277786012	0.0205331184745615	0.15901116907214	0.129130039068174	0.897254753249098	0.952022501035156
105378948	29.0382342921684	-0.240087928762443	0.367355822631664	-0.653556889455299	0.513397326388611	0.706272200003607
401934	1.72728074734739	0.0762638431900573	1.38113208504301	0.0552183560254358	0.955964505251827	NA
54991	373.390060273651	0.539431170805307	0.105365941325181	5.11959712997304	3.06189040384889e-07	2.46361859323235e-06
8784	16.6053906681401	2.10273125401399	0.48702768018149	4.31747791671802	1.57822192992954e-05	0.000100768621719587
7293	4.53201331843727	2.25279931308837	0.970433867702132	2.32143517252002	0.0202633690930334	0.0618441024231251
51150	5265.92051252371	0.289800899880531	0.0418040868435839	6.93235809610824	4.13882644346225e-12	5.16309903808379e-11
126792	1043.70809903785	0.0964647875802942	0.067498050424555	1.42914924169723	0.152961343009935	0.31325741221352
388581	4.09373404184238	0.736672156287787	0.931077176142621	0.791204182815179	0.428824851027819	0.632730833267863
118424	1495.56452465389	0.187883890857415	0.0599842005636355	3.13222297024855	0.00173488066003033	0.00739641108505177
6339	21.646655761894	0.033862289831367	0.399357538407727	0.0847919134477313	0.932426822522051	0.967874794196901
116983	506.889605370876	-0.0453099011179138	0.0967080940418503	-0.468522325528472	0.639411109357307	0.801355670612851
126789	188.574669657602	0.00764554006685312	0.151759813064368	0.0503792137883718	0.959820200343118	0.981777087720911
54973	1153.55594995342	0.0204787587575737	0.0668942848867734	0.306136148883817	0.759500985516025	0.875216183475435
102465435	0.988632707664771	-1.80221163298507	2.013021855287	-0.895276734453596	0.370639174025631	NA
80772	357.969514303519	-0.122042485611071	0.105550565966974	-1.15624662447814	0.247580293807031	0.440792691480615
83756	23.2977209888903	0.188227189511038	0.386987224630737	0.48639122309695	0.626689812256559	0.79209963924637
1855	925.376457584581	0.13507262953842	0.0756437710320188	1.78564113998555	0.0741573812544184	0.178886305609659
54587	60.3521776386352	0.346724161235233	0.263678569782562	1.31495009822434	0.188526674052105	0.363984715347055
54998	752.335115574058	0.0853437978625796	0.0988213597131945	0.863616915515732	0.387798368665927	0.594533386641091
81669	1845.4753683569	0.196931542732488	0.0563056231572381	3.49754663370903	0.000469558611484052	0.00229522475715534
148413	267.298347734879	-0.00824353651290644	0.118712310385291	-0.0694412945561531	0.94463835992924	0.973068948993079
55052	992.13049339658	0.0857129811258972	0.0659615338655872	1.29943887145739	0.193793358940208	0.371255957345127
441869	0.243243257086394	1.75328537823063	3.80469287554222	0.460821789191266	0.644926467720128	NA
64856	2.53996057700351	-2.16968529257881	1.4008536874585	-1.54883076798346	0.121422407125882	NA
219293	2.83056476458131	0.406035311766999	1.1009555609368	0.36880263488701	0.712274840558847	NA
83858	390.724199473128	0.466806335868743	0.116909159356251	3.99289789131293	6.52706800346888e-05	0.000377461334287088
55210	710.584596779107	-0.000548869349143336	0.0979258144693367	-0.00560495056505455	0.995527919895509	0.998899855073825
339453	0.978813053608914	-1.62148710124305	1.95837401354102	-0.827976213956787	0.407683970709659	NA
29101	1347.94533630591	-0.147436647606052	0.0645779887771515	-2.28307896232	0.0224257175348194	0.0672316825833627
643988	295.356778460288	-0.591735308908901	0.117789160721475	-5.02368219014753	5.06900925985481e-07	3.96885245055615e-06
142678	357.216356820974	-0.0995969739719938	0.110587692565003	-0.900615354764285	0.36779286772559	0.57430240518425
8510	0.214331848640255	1.75322573851513	3.99907876212869	0.43840740400469	0.661090980197	NA
984	605.78899054958	0.0244212374611252	0.085214570465994	0.286585232168375	0.774429923356277	0.884883944906399
728661	780.893100147173	-0.133341647843938	0.0727691337645701	-1.8323929521456	0.0668928973355563	0.164704878224624
8511	1.22656102197969	2.04861908867447	1.91855574288043	1.06779232048727	0.285614202936157	NA
728642	336.112945617862	-0.246647410094437	0.140045422501126	-1.76119580125837	0.0782052684708365	0.186559088936135
9906	113.976392010245	-0.184646325932266	0.179010512525964	-1.03148314211706	0.302314309614987	0.50465039089559
65220	971.341559844319	1.17060845740325	0.0698341797563522	16.7626864307341	4.57477809877314e-63	2.34181313366508e-61
2782	11363.0045571431	0.0848220067282656	0.036964380404578	2.2946957530434	0.0217505663649281	0.0655209329722722
105378949	4.06061916469334	0.0610891400415649	0.977818622654962	0.0624749198125276	0.950184634005498	0.975820884940271
163688	5.73309261866681	0.22298595728191	0.770560325384251	0.289381570704039	0.772289396433294	0.884139437807685
