fromNode	toNode	weight	direction
9410	51118	0.149127391038444	undirected
79647	1031	0.159765111615143	undirected
5051	79699	0.15248013776202	undirected
55707	84938	0.156405996369952	undirected
55629	84938	0.154092928686314	undirected
10691	84938	0.149630896277975	undirected
6421	84938	0.162299048761957	undirected
79753	84938	0.168032845207195	undirected
5226	205	0.154990335306499	undirected
148345	205	0.148873039225194	undirected
164091	205	0.166717421879616	undirected
54558	205	0.151221603364344	undirected
4774	205	0.180943668409156	undirected
84938	5142	0.156116032616504	undirected
84938	8790	0.152566551916055	undirected
205	5876	0.155227786483234	undirected
79699	23032	0.160848009007515	undirected
84938	284695	0.155369788963626	undirected
80176	30836	0.158947124619545	undirected
10691	30836	0.167308181416639	undirected
149076	30836	0.163226086464535	undirected
84938	30836	0.150888350194357	undirected
11080	30836	0.157107054742366	undirected
79699	2152	0.152979425172946	undirected
79699	163786	0.155883534541729	undirected
79699	1629	0.148929317289199	undirected
51118	5686	0.15909440102174	undirected
79647	1435	0.164808084255113	undirected
79647	10768	0.172244232354118	undirected
84938	10390	0.168698681199609	undirected
79647	140	0.189247028322711	undirected
79647	476	0.173312447443916	undirected
205	5738	0.163574451353487	undirected
79647	90874	0.181486315787884	undirected
30836	100996724	0.149916193968943	undirected
26099	9939	0.150096808385616	undirected
63906	9939	0.152500471399053	undirected
84065	9939	0.168565085851497	undirected
84938	51027	0.167105177694136	undirected
30836	51027	0.163063503124881	undirected
643837	8394	0.154353165178323	undirected
7268	8394	0.152395418844028	undirected
9129	8394	0.16204560571528	undirected
80135	5993	0.150181594764561	undirected
84938	81609	0.157250428980945	undirected
79647	7062	0.155902855256664	undirected
8668	3608	0.167723660192257	undirected
54936	3608	0.157915064320048	undirected
79693	3608	0.15661369291914	undirected
79647	3608	0.160144043229857	undirected
148423	3608	0.160424108914075	undirected
9939	3608	0.14839404913722	undirected
26097	3608	0.162284977740103	undirected
30836	1945	0.167488090673384	undirected
3608	6746	0.163199873560595	undirected
84938	9673	0.154316917855334	undirected
51118	54865	0.148936789784347	undirected
205	54865	0.152758647355322	undirected
205	3068	0.152546130832674	undirected
4170	2117	0.153667075162475	undirected
653464	5202	0.152407603984512	undirected
26097	5202	0.148227763203056	undirected
30836	27005	0.166060751678964	undirected
79699	6675	0.157400792895772	undirected
3608	261726	0.172492985746732	undirected
79647	100302401	0.156878345910745	undirected
149076	27	0.148259847520033	undirected
3716	27	0.157010811610586	undirected
30836	27	0.165436531490447	undirected
100996724	27	0.153334974517451	undirected
27005	27	0.162398570513471	undirected
84938	5743	0.168216783806966	undirected
30836	5743	0.155607194952317	undirected
1855	84919	0.150885438165063	undirected
9903	84919	0.150210970876293	undirected
80176	84919	0.168385348239531	undirected
100506022	84919	0.153472127632028	undirected
7709	84919	0.157639074901461	undirected
55707	84919	0.190337602005004	undirected
55629	84919	0.194429437062716	undirected
10772	84919	0.153442012369678	undirected
54707	84919	0.169281356116587	undirected
115273	84919	0.158480371925826	undirected
10691	84919	0.184631568816427	undirected
149076	84919	0.164954968114844	undirected
6421	84919	0.189914833087383	undirected
79753	84919	0.175026524798943	undirected
339559	84919	0.165688629471537	undirected
84950	84919	0.152455194544598	undirected
84938	84919	0.199436408429385	undirected
5142	84919	0.180581610543174	undirected
8790	84919	0.165561482437939	undirected
11080	84919	0.175282147973497	undirected
284695	84919	0.172858458920146	undirected
30836	84919	0.199804789704422	undirected
10390	84919	0.175103821275948	undirected
389	84919	0.153496250553927	undirected
100996724	84919	0.16097720030256	undirected
51027	84919	0.182087349841497	undirected
51177	84919	0.156515151779248	undirected
5298	84919	0.159864656560865	undirected
81609	84919	0.164209802449762	undirected
1945	84919	0.172744800668983	undirected
6016	84919	0.171100432009379	undirected
9181	84919	0.161906681221536	undirected
9673	84919	0.169975910343664	undirected
27005	84919	0.148467255396067	undirected
27	84919	0.168935275383835	undirected
51278	84919	0.15733688165758	undirected
5743	84919	0.204291214128808	undirected
51177	9261	0.152227670733998	undirected
84919	9261	0.158859493915723	undirected
205	5208	0.158524152097413	undirected
11022	5208	0.152938366345809	undirected
8668	3914	0.149915976059881	undirected
84196	50486	0.162515715238616	undirected
79693	50486	0.161760463636196	undirected
79647	50486	0.156290602110367	undirected
1263	50486	0.148535562634758	undirected
1031	50486	0.177395841401445	undirected
1435	50486	0.153062779580034	undirected
476	50486	0.159616771602321	undirected
90874	50486	0.172222026955895	undirected
10691	467	0.148480441992543	undirected
30836	467	0.154562708825011	undirected
84919	467	0.175639018561446	undirected
79699	25936	0.153410708529774	undirected
84919	25936	0.149057651591966	undirected
84919	148362	0.16442160696639	undirected
84919	824	0.16225173294813	undirected
79647	7159	0.160780075930731	undirected
8394	163859	0.156011823888224	undirected
84919	163859	0.158233745413479	undirected
467	163859	0.153221935778603	undirected
3608	375	0.14914902537829	undirected
54707	126731	0.155193347316085	undirected
148327	126731	0.156307159544881	undirected
84919	126731	0.152502725729	undirected
80135	23029	0.154863698756678	undirected
79180	8564	0.154789523286669	undirected
1870	8564	0.152173420062404	undirected
10772	8564	0.150436111930508	undirected
80149	8564	0.183463703702433	undirected
5567	8564	0.174467868476878	undirected
148418	8564	0.154407290310618	undirected
117178	8564	0.156374434384887	undirected
2135	8564	0.17729974093874	undirected
6884	8564	0.173733110391091	undirected
84722	8564	0.151216229669237	undirected
51177	8564	0.157426104445917	undirected
6016	8564	0.154206006710937	undirected
126731	8564	0.158487526815977	undirected
84938	1122	0.162747017111963	undirected
84919	1122	0.175675527666335	undirected
79647	80851	0.152466523102133	undirected
26155	23560	0.154072574219099	undirected
51150	23560	0.152697518247171	undirected
26099	23560	0.163335710192681	undirected
8668	23560	0.151767345618066	undirected
29889	23560	0.1611435471584	undirected
79647	23560	0.15105500369847	undirected
4610	23560	0.161512440478533	undirected
64756	23560	0.159631364756098	undirected
205	23560	0.151279783378814	undirected
8880	23560	0.170542932526377	undirected
10286	23560	0.153779590923843	undirected
9939	23560	0.157620648456714	undirected
9129	23560	0.150906650432734	undirected
8394	23560	0.155413509015906	undirected
26097	23560	0.153435662305018	undirected
3608	23560	0.154878022328308	undirected
89866	23560	0.166222244003265	undirected
79577	23560	0.165031836004528	undirected
5208	23560	0.173781647681004	undirected
23219	23560	0.150460789481189	undirected
9816	23560	0.181324358122583	undirected
101928068	23560	0.158321237331659	undirected
3608	91734	0.151605583604607	undirected
375	91734	0.148443099668344	undirected
84938	1316	0.154038947060169	undirected
30836	1316	0.158479365022929	undirected
27	1316	0.15745145195637	undirected
84919	1316	0.172870402716127	undirected
80176	79754	0.151966151521855	undirected
84950	79754	0.16274174971643	undirected
84938	79754	0.170239118066539	undirected
30836	79754	0.175286032397363	undirected
1945	79754	0.162864728745953	undirected
84919	79754	0.20166692433075	undirected
467	79754	0.155342941437303	undirected
1316	79754	0.152672809482384	undirected
79647	100507347	0.162323822113543	undirected
3608	100507347	0.172840675108179	undirected
8564	84898	0.148951326692461	undirected
84938	10006	0.148095337228884	undirected
84919	10006	0.149333660167984	undirected
30836	84930	0.154107012142085	undirected
84919	84930	0.181251411376123	undirected
79647	22931	0.168740268916283	undirected
23560	6840	0.165163558240066	undirected
4170	1390	0.158357073679592	undirected
51514	1390	0.148984088619576	undirected
9939	219749	0.16227888143983	undirected
728661	7582	0.160332566444533	undirected
2782	7582	0.159196556730392	undirected
1263	7582	0.165753530950597	undirected
1031	7582	0.159054162372257	undirected
476	7582	0.157493661860175	undirected
84852	7582	0.149817727756444	undirected
6016	7582	0.149905770257202	undirected
100302401	7582	0.158278626032084	undirected
50486	7582	0.158775967522408	undirected
1063	7582	0.168479647661383	undirected
105379282	7582	0.148348127776953	undirected
84991	7582	0.156647347102376	undirected
84938	55454	0.154500000983774	undirected
84919	55454	0.159250409289262	undirected
3608	399761	0.153560207013577	undirected
84938	5599	0.151569007818497	undirected
84919	5599	0.168299681266646	undirected
467	5599	0.156506783756027	undirected
79754	84159	0.160363347544912	undirected
50486	1959	0.159617742093335	undirected
7582	1959	0.1654587423895	undirected
54865	64081	0.158216915275233	undirected
23560	3189	0.156942413687131	undirected
4610	9188	0.153754608081258	undirected
149473	9188	0.150147857888627	undirected
8880	9188	0.159902067667248	undirected
2330	9188	0.158118750925778	undirected
89866	9188	0.154452161215429	undirected
5208	9188	0.151048732776572	undirected
9816	9188	0.165791235933187	undirected
23560	9188	0.181146500428232	undirected
6840	9188	0.150063283958929	undirected
205	84883	0.155450395158616	undirected
5208	84883	0.150990329899443	undirected
23560	84883	0.157406710101145	undirected
84938	219743	0.154675070107888	undirected
84919	219743	0.157152701171406	undirected
3608	1979	0.165002675944881	undirected
23560	1979	0.174964621351606	undirected
84938	11319	0.152903128081221	undirected
30836	11319	0.150952620078202	undirected
84919	11319	0.180635565325977	undirected
79754	11319	0.16884931685522	undirected
205	818	0.16324172593113	undirected
5208	818	0.161470178483017	undirected
23560	818	0.163340155833615	undirected
9188	818	0.148002230982024	undirected
84919	142891	0.158808342246114	undirected
64802	10105	0.151423687378236	undirected
1912	10105	0.150795329480249	undirected
59269	10105	0.164840660662183	undirected
50999	10105	0.157606854489715	undirected
9261	10105	0.150118995337815	undirected
3608	219654	0.154195624466783	undirected
5208	219654	0.150954968974224	undirected
23560	219654	0.161185038949095	undirected
27	23063	0.149440101546914	undirected
50486	643529	0.151019445107447	undirected
8564	643529	0.154230402189709	undirected
7582	643529	0.148869931954928	undirected
205	27063	0.166991114709454	undirected
5208	27063	0.148063841227339	undirected
50486	3832	0.15090039710764	undirected
9903	3087	0.153812032134324	undirected
84938	3087	0.157407466919743	undirected
30836	3087	0.166654914317503	undirected
84919	3087	0.190892430433756	undirected
79754	3087	0.153257516457526	undirected
205	64318	0.167051989105876	undirected
5208	64318	0.158423403180122	undirected
23560	64318	0.154774753892225	undirected
23560	953	0.160789234626271	undirected
84938	29760	0.169060881429862	undirected
84919	29760	0.197019606978474	undirected
9939	23223	0.162049580907094	undirected
205	83742	0.159841479102292	undirected
5208	83742	0.165726710164179	undirected
205	1147	0.158269865424579	undirected
23560	56652	0.164478073435692	undirected
9188	56652	0.175904140897254	undirected
51118	10360	0.148793901853563	undirected
50486	8861	0.148077902830812	undirected
84069	23082	0.149580946264757	undirected
8564	23082	0.148917005992294	undirected
50486	9221	0.153450857431919	undirected
23560	9221	0.154808909883402	undirected
9188	9221	0.151055752835939	undirected
8564	4791	0.157603427796169	undirected
5724	51684	0.16892733167512	undirected
84938	51684	0.14913968325314	undirected
84919	51684	0.165232632483455	undirected
221079	51684	0.175108451016946	undirected
11319	51684	0.149818963815637	undirected
79699	54805	0.14896059923335	undirected
10105	54805	0.151852225684291	undirected
64802	85450	0.165435677628419	undirected
55219	85450	0.148170494792485	undirected
1912	85450	0.157229907646419	undirected
84938	85450	0.151647012199358	undirected
5142	85450	0.14845949494155	undirected
389	85450	0.174930516604029	undirected
81609	85450	0.165972829669318	undirected
84919	85450	0.184201350703633	undirected
25936	85450	0.159576589410268	undirected
1122	85450	0.156662049782531	undirected
5552	85450	0.149291504853557	undirected
29760	85450	0.157734425726219	undirected
51118	7511	0.155925646049399	undirected
54865	7511	0.152642008798892	undirected
7582	10285	0.151203573115296	undirected
2782	1847	0.150920488961552	undirected
55629	1847	0.186208619307492	undirected
10772	1847	0.169733105801341	undirected
115273	1847	0.174892664065468	undirected
6421	1847	0.172296445261731	undirected
80149	1847	0.153775511160535	undirected
1263	1847	0.158808356515879	undirected
127428	1847	0.154763394069856	undirected
84938	1847	0.157670261352649	undirected
8790	1847	0.167594473179215	undirected
30836	1847	0.157875053238648	undirected
84722	1847	0.153814526703979	undirected
10390	1847	0.151430303194029	undirected
389	1847	0.172908629764126	undirected
51177	1847	0.176574683242802	undirected
